"46-30 Center Boulevard, Unit 304",Hunters Point,5000,2 BD,2 BA
"99-72 66th Road, Unit 9H",Rego Park,1600,Studio,1 BA
"22-73 41st Street, Unit 13",Astoria,2062,1 BD,1 BA
"3094 Crescent Street, Unit 2E",Astoria,2550,1 BD,1 BA
"10 Halletts Point, Unit 1641",Astoria,4281,2 BD,2 BA
"10 Halletts Point, Unit 1544",Astoria,2835,1 BD,1 BA
"10 Halletts Point, Unit 1115",Astoria,3348,2 BD,1 BA
"10 Halletts Point, Unit 1437",Astoria,2295,Studio,1 BA
"26-25 28th Street, Unit 1D",Astoria,2725,1 BD,1 BA
"26-25 28th Street, Unit 1C",Astoria,2315,Studio,1 BA
"11-15 Broadway, Unit 4H",Astoria,2995,1 BD,1 BA
"30-50 21st Street, Unit 5C",Astoria,2755,1 BD,1 BA
"109-33 71st Road, Unit 3E",Forest Hills,1750,Studio,1 BA
"4545 Center Boulevard, Unit 303",Hunters Point,2695,Studio,1 BA
"2323 31st Avenue, Unit 2M",Astoria,2125,Studio,1 BA
"21-16 35th Street, Unit 3B",Steinway,2400,2 BD,1 BA
"109-33 71st Road, Unit 8H",Forest Hills,1650,Studio,1 BA
"104-60 Queens Boulevard, Unit 3L",Rego Park,2345,1 BD,1 BA
98-15 Horace Harding Expressway,LeFrak City,2726,2 BD,1 BA
"43-23 40th Street, Unit 5J",Sunnyside,2150,1 BD,1 BA
"61-55 Junction Boulevard, Unit 23D",Rego Park,2850,1 BD,1 BA
"61-55 Junction Boulevard, Unit 25A",Rego Park,2931,1 BD,1 BA
"17802 Hillside Avenue, Unit 320",Eastwood,3925,2 BD,2 BA
"17802 Hillside Avenue, Unit 313",Eastwood,2500,1 BD,1 BA
"44-15 Colden Street, Unit 1B",Flushing,1701,Studio,1 BA
"64-20 Saunders Street, Unit 721",Rego Park,1755,Studio,1 BA
"30-86 32nd Street, Unit 6",Astoria,1875,1 BD,1 BA
"47-50 59th Street, Unit 1D",Woodside,1750,1 BD,1 BA
"41-42 24th Street, Unit 9927",Long Island City,2763,1 BD,1 BA
"105-21 66th Avenue, Unit 5D",Forest Hills,2400,2 BD,1 BA
"19-19 24th Avenue, Unit L402",Astoria,2095,1 BD,1 BA
"41-42 24th Street, Unit 5102",Long Island City,4032,2 BD,1 BA
"61-55 Junction Boulevard, Unit 23D",Rego Park,2850,1 BD,1 BA
"61-55 Junction Boulevard, Unit 25A",Rego Park,2931,1 BD,1 BA
"10 Halletts Point, Unit 1109",Astoria,2610,1 BD,1 BA
"35-24 78th Street, Unit B64",Jackson Heights,2750,2 BD,1 BA
"41-22 24th Street, Unit 7H",Long Island City,2447,Studio,1 BA
"41-22 24th Street, Unit 7H",Long Island City,2447,Studio,1 BA
"175-39 Dalny Road, Unit 5A",Jamaica Estates,1695,Studio,1 BA
"47-05 Center Boulevard, Unit 707",Hunters Point,3625,1 BD,1 BA
"32-15 35th Street, Unit A3",Astoria,2200,1 BD,1 BA
