,Address,Price,Rental_type,Sqfeet,Boro,Agency,Beds,Baths
171,"86 Berry Street, 3L - Williamsburg, New York",3400,Rental,Listing ID: 3886438,Brooklyn,Elliman,2 Beds, 1 Bath
172,"North 9th Street - Williamsburg, New York",3385,Rental,Listing ID: 3710772,Brooklyn,Elliman,1 Bed, 1 Bath
173,"GREEN HILL CONDOMIN, 324 22nd Street, 3B - Greenwood, New York",3350,Condo,Listing ID: 3883445,Brooklyn,Elliman,2 Beds, 2 Baths
174,"608 Franklin Avenue, 307 - Crown Heights, New York",3350,Rental,Listing ID: 3867094,Brooklyn,Elliman,2 Beds, 1 Bath
175,"214 North 11th Street, 3R - Williamsburg, New York",3350,"Condo, Doorman",Approximate Sq. Feet: 710 | Approximate Exterior Sq. Ft: 33,Brooklyn,Elliman,1 Bed, 1 Bath
176,"774 Grand Street, 4G - Williamsburg, New York",3345,,Listing ID: 3860418,Brooklyn,Elliman,1 Bed, 1 Bath
177,"247 North 7th Street, 1503 - Williamsburg, New York",3337,"Rental, Doorman",Approximate Sq. Feet: 436,Brooklyn,Elliman,Studio, 1 Bath
178,"124 Amity Street, 4 - Cobble Hill, New York",3300,Rental,Listing ID: 3850048,Brooklyn,Elliman,2 Beds, 1 Bath
179,"479 Prospect Pl, 3L - Prospect Heights, New York",3300,Rental,"Approximate Sq. Feet: 1,100",Brooklyn,Elliman,3 Beds, 2 Baths
181,"479 Prospect Pl, 4 - Prospect Heights, New York",3300,Rental,"Approximate Sq. Feet: 1,000",Brooklyn,Elliman,3 Beds, 2 Baths
182,"479 Prospect Pl, 3L - Prospect Heights, New York",3300,Rental,"Approximate Sq. Feet: 1,100",Brooklyn,Elliman,3 Beds, 2 Baths
183,"479 Prospect Pl, 4L - Prospect Heights, New York",3300,Rental,"Approximate Sq. Feet: 1,100",Brooklyn,Elliman,3 Beds, 1 Bath 
184,"563 Prospect Avenue, 2 - Windsor Terrace, New York",3300,Multi-Family,"Approximate Sq. Feet: 1,100",Brooklyn,Elliman,3 Beds, 1 Bath
185,"365 Bond Street, B504 - Gowanus, New York",3288,"Rental, Doorman",Listing ID: 3878476,Brooklyn,Elliman,Studio, 1 Bath
186,"1 Blue Slip, 21N - Greenpoint, New York",3253,Rental,Listing ID: 3886437,Brooklyn,Elliman,1 Bed, 1 Bath
187,"213 Maujer Street, 2 - Williamsburg, New York",3250,Rental,Listing ID: 3825769,Brooklyn,Elliman,1 Bed, 1 Bath
188,"254 Stuyvesant Avenue, 3 - Bedford - Stuyvesant, New York",3200,Multi-Family,Approximate Sq. Feet: 840,Brooklyn,Elliman,2 Beds, 1 Bath
190,"2365 East 12th Street - Sheepshead Bay, New York",3200,Single Family Townhouse,"Approximate Sq. Feet: 1,776",Brooklyn,Elliman,4 Beds, 2 Baths
191,"318 Prospect Avenue, 3R - Prospect Park South, New York",3200,Multi-Family,Approximate Sq. Feet: 900,Brooklyn,Elliman,2 Beds, 1 Bath
192,"813 Dean Street, 1 - Prospect Heights, New York",3200,Multi-Family,Listing ID: 3842803,Brooklyn,Elliman,2 Beds, 1 Bath
193,"313 Degraw Street, 2 - Carroll Gardens, New York",3200,Multi-Family,Listing ID: 3869900,Brooklyn,Elliman,1 Bed, 1 Bath
194,"684 MacDonough Street, 1FL - Bedford - Stuyvesant, New York",3200,Rental,Listing ID: 3862894,Brooklyn,Elliman,3 Beds, 2 Baths
195,"306 Gold Street, 20G - Downtown Brooklyn, New York",3200,"Condo, Doorman",Approximate Sq. Feet: 709,Brooklyn,Elliman,1 Bed, 1 Bath
196,"Lafayette Avenue - Clinton Hill, New York",3200,Rental,Listing ID: 3841601,Brooklyn,Elliman,2 Beds, 1 Bath
197,"16 MONROE PL, 1 - Brooklyn Heights, New York",3175,Rental,Listing ID: 3869993,Brooklyn,Elliman,1 Bed, 1 Bath
198,"115 Bergen Street, 2 - Boerum Hill, New York",3150,Rental,Listing ID: 3879990,Brooklyn,Elliman,1 Bed, 1 Bath
199,"363 Bond Street, PH1 - Gowanus, New York",3145,"Rental, Doorman",Listing ID: 3879771,Brooklyn,Elliman,Studio, 1 Bath
200,"475 Clermont Avenue, 602A - Fort Greene, New York",3135,Rental,Listing ID: 3872899,Brooklyn,Elliman,Studio, 1 Bath
201,"1 Blue Slip, 18R - Greenpoint, New York",3120,Rental,Listing ID: 3884763,Brooklyn,Elliman,Studio, 1 Bath
