Address,Price,Description,Neighborhood,Boro
"150 East 44th Street, Apt. 10B",3975,1 Bed / 1 Bath / Rental,Midtown East,Manhattan
"28 Perry Street, Apt. BW",3900,1 Bed / 1 Bath / Condo,West Village,Manhattan
"21 East 12th Street, Apt. 15A",13500,"2 Beds / 2 Baths / 1,478 Sq. Ft. / Condo",Greenwich Village,Manhattan
"152 Ninth Avenue, Apt. 1",10750,3 Units / 4 Floors / Multi-Family Townhouse,Chelsea/Hudson Yards,Manhattan
"381 Bleecker Street, Apt. 2",7250,5 Floors / Multi-Family Townhouse,West Village,Manhattan
"210 West 77th Street, Apt. 17",27950,"4 Beds / 4 Baths / 2,947 Sq. Ft. / Condo",Upper West Side,Manhattan
"285 West 110th Street, Apt. 6D",8995,"3 Beds / 2 Baths / 1,608 Sq. Ft. / Condo",Upper West Side,Manhattan
"91 Franklin Street, Apt. 4 FL",6000,"1 Bed / 1 Bath / 1,700 Sq. Ft. / Co-op",Tribeca,Manhattan
"160 West 66th Street, Apt. 19J",5950,"1 Bed / 1 Bath / 1,086 Sq. Ft. / Condo",Upper West Side,Manhattan
"343 East 76th Street, Apt. 2A",2395,Studio / 1 Bath / Rental,Upper East Side,Manhattan
"15 Broad Street, Apt. 1610",11500,"3 Beds / 3 Baths / 2,220 Sq. Ft. / Condo",Financial District,Manhattan
"50 Madison Avenue, Apt. 2",20000,"3 Beds / 3 Baths / 2,646 Sq. Ft. / Condo",Flatiron,Manhattan
"438 East 12th Street, Apt. PHH",20000,"3 Beds / 2 Baths / 1,987 Sq. Ft. / Condo",East Village,Manhattan
"233 East 21st Street, Apt. 23",4495,3 Beds / 1 Bath / Rental,Gramercy,Manhattan
"92 Perry Street, Apt. 19",3900,1 Bed / 1 Bath / 418 Sq. Ft. / Condo,West Village,Manhattan
"141 East 88th Street, Apt. 5G",17000,"3 Beds / 2 Baths / 2,090 Sq. Ft. / Condo",Carnegie Hill,Manhattan
"457 West 57th Street, Apt. 202",3800,1 Bed / 1 Bath / 800 Sq. Ft. / Co-op,Midtown West,Manhattan
"333 East 91st Street, Apt. 33AB",24995,4 Beds / 4 Baths / Condo/Co-op,Upper East Side,Manhattan
"410 West 24th Street, Apt. 3E",3000,Studio / 1 Bath / Co-op,Chelsea/Hudson Yards,Manhattan
"31 West 82nd Street, Apt. PARLOR",8500,3 Units / 5 Floors / Multi-Family Townhouse,Upper West Side,Manhattan
"15 Charles Street, Apt. 14E",5000,1 Bed / 1 Bath / Condo,Greenwich Village,Manhattan
"35 East 68th Street, Apt. 3/4",18000,"8 Units / 5 Floors / 2,715 Sq. Ft. / Multi-Family Townhouse",Upper East Side,Manhattan
"435 East 76th Street, Apt. 1D",7995,"2 Beds / 3 Baths / 2,040 Sq. Ft. / Condo",Upper East Side,Manhattan
"223 East 80th Street, Apt. PH",11995,"2 Beds / 3 Baths / 1,720 Sq. Ft. / Rental",Upper East Side,Manhattan
"155 West 70th Street, Apt. 11F",6000,2 Beds / 2 Baths / Condo,Upper West Side,Manhattan
"62 Beach Street, Apt. 2D",16000,2 Beds / 2 Baths / Condo,Tribeca,Manhattan
"100 West 58th Street, Apt. 14F",5900,"2 Beds / 2 Baths / 1,176 Sq. Ft. / Condo",Midtown West,Manhattan
"233 East 21st Street, Apt. 9",4595,3 Beds / 1 Bath / Rental,Gramercy,Manhattan
"172 Madison Avenue, Apt. 20C",6500,1 Bed / 1 Bath / 891 Sq. Ft. / Condo,empty neighborhood,Manhattan
"3 Gramercy Park West, Apt. PARLOR",20000,2 Beds / 2 Baths / Co-op,Gramercy,Manhattan
"215 West 88th Street, Apt. 12D",8600,"3 Beds / 2 Baths / 1,517 Sq. Ft. / Condo",Upper West Side,Manhattan
"154 Attorney Street, Apt. 105",6450,"2 Beds / 1 Bath / 1,600 Sq. Ft. / Condo",Lower East Side,Manhattan
"40 Mercer Street, Apt. 12",14500,2 Beds / 2 Baths / Condo,Soho/Nolita,Manhattan
"233 East 21st Street, Apt. 5",4795,3 Beds / 1 Bath / Rental,Gramercy,Manhattan
"102 East 22nd Street, Apt. 1EF",6500,"2 Beds / 2 Baths / 1,350 Sq. Ft. / Co-op",Gramercy,Manhattan
"253 West 73rd Street, Apt. 10D",6500,"2 Beds / 2 Baths / 1,200 Sq. Ft. / Condo",Upper West Side,Manhattan
"4 West 21st Street, Apt. 10B",10500,2 Beds / 3 Baths / Condo/Co-op,Flatiron,Manhattan
"14 East 4th Street, Apt. 827",6950,"1 Bed / 1 Bath / 1,132 Sq. Ft. / Condo",Greenwich Village,Manhattan
"49 West 72nd Street, Apt. 6E",3150,1 Bed / 1 Bath / Co-op,Upper West Side,Manhattan
"210 East 63rd Street, Apt. 6D",2800,1 Bed / 1 Bath / 500 Sq. Ft. / Co-op,Upper East Side,Manhattan
"330 East 75th Street, Apt. 27BC",12000,4 Beds / 4 Baths / Condo,Upper East Side,Manhattan
"50 West Street, Apt. 19A",8500,"2 Beds / 2 Baths / 1,662 Sq. Ft. / Condo",Financial District,Manhattan
"251 West 19th Street, Apt. 7A",12500,"2 Beds / 2 Baths / 1,653 Sq. Ft. / Condo",Chelsea/Hudson Yards,Manhattan
"212 East 47th Street, Apt. 7B",3500,2 Beds / 1 Bath / Condo,Midtown East,Manhattan
"21 East 96th Street, Apt. 6FL",23500,"4 Beds / 4 Baths / 3,010 Sq. Ft. / Condo",Carnegie Hill,Manhattan
"51 Saint Nicholas Avenue, Apt. 4A",10000,3 Beds / 2 Baths / Condo,Harlem,Manhattan
"108 Wooster Street, Apt. 5E",6200,"Loft / 1 Bath / 1,100 Sq. Ft. / Co-op",Soho/Nolita,Manhattan
"111 Wooster Street, Apt. 6B",12500,"2 Beds / 2 Baths / 1,910 Sq. Ft. / Condo",Soho/Nolita,Manhattan
"558 West 162nd Street, Apt. Garden",3350,"2 Beds / 1 Bath / 1,600 Sq. Ft. / Rental",Washington Heights,Manhattan
"325 Fifth Avenue, Apt. 17E",3800,1 Bed / 1 Bath / 688 Sq. Ft. / Condo,Murray Hill,Manhattan
"138 West Broadway, Apt. 4",7000,2 Units / 4 Floors / Multi-Family Townhouse,Tribeca,Manhattan
"225 West 60th Street, Apt. 7D",3688,1 Bed / 1 Bath / 612 Sq. Ft. / Condo,Upper West Side,Manhattan
"146 West 57th Street, Apt. 72C",8800,"2 Beds / 2 Baths / 1,490 Sq. Ft. / Condo",Midtown West,Manhattan
"106 Central Park South, Apt. 15I",6400,"2 Beds / 2 Baths / 1,235 Sq. Ft. / Condo",Central Park South,Manhattan
"252 South Street, Apt. 9J",3714,1 Bed / 1 Bath / 696 Sq. Ft. / Condo,Lower East Side,Manhattan
"136 West Broadway, Apt. PH",10995,"1 Bed / 2 Baths / 2,284 Sq. Ft. / Rental",Tribeca,Manhattan
"101 Wall Street, Apt. 14A",4300,1 Bed / 1 Bath / 703 Sq. Ft. / Condo,Financial District,Manhattan
"311 West Broadway, Apt. 6D",8750,2 Beds / 2 Baths / Condo,Soho/Nolita,Manhattan
"650 West End Avenue, Apt. 10C",8400,3 Beds / 3 Baths / Condo,Upper West Side,Manhattan
"1 Central Park South, Apt. 1610",5995,1 Bed / 1 Bath / 849 Sq. Ft. / Condo,Central Park South,Manhattan
"340 East 64th Street, Apt. 19L",8700,2 Beds / 2 Baths / Condo,Upper East Side,Manhattan
"163 West 79th Street, Apt. 4F",2500,Studio / 1 Bath / Condo,Upper West Side,Manhattan
"845 United Nations Plaza, Apt. 20H",6800,"2 Beds / 2 Baths / 1,329 Sq. Ft. / Condo",Midtown East,Manhattan
"1255 Fifth Avenue, Apt. 3CDE",11900,"4 Beds / 3 Baths / 3,042 Sq. Ft. / Condo",Upper East Side,Manhattan
"2 Cornelia Street, Apt. 1004-05",18500,"4 Beds / 3 Baths / 2,650 Sq. Ft. / Condo",Greenwich Village,Manhattan
"2077 Fifth Avenue, Apt. 2B",3950,"2 Beds / 2 Baths / 1,125 Sq. Ft. / Condo",East Harlem,Manhattan
"421 Hudson Street, Apt. 618",17500,3 Beds / 3 Baths / Condo,West Village,Manhattan
"150 West 56th Street, Apt. 6302",6750,2 Beds / 2 Baths / Condo,Midtown West,Manhattan
"15 Hudson Yards, Apt. 65C",15000,2 Beds / 2 Baths / Condo,Chelsea/Hudson Yards,Manhattan
"30 East 76th Street, Apt. 10AB",14750,"3 Beds / 3 Baths / 2,362 Sq. Ft. / Condo",Upper East Side,Manhattan
"25 Central Park West, Apt. 14K",7000,1 Bed / 1 Bath / 906 Sq. Ft. / Condo,Upper West Side,Manhattan
"11 EAST BROADWAY, Apt. 9A",2250,4 Floors / 486 Sq. Ft. / Commercial,Chinatown,Manhattan
"305 East 85th Street, Apt. 8D",12500,"3 Beds / 3 Baths / 1,604 Sq. Ft. / Condo",Upper East Side,Manhattan
"1200 Broadway, Apt. 5C",9000,2 Beds / 2 Baths / Co-op,Flatiron,Manhattan
"30 Park Place, Apt. 61B",21500,"3 Beds / 3 Baths / 2,213 Sq. Ft. / Condo",Tribeca,Manhattan
"418 Central Park West, Apt. 24",6200,"2 Beds / 2 Baths / 1,078 Sq. Ft. / Condo",Upper West Side,Manhattan
"233 West 26th Street, Apt. 5E",8750,2 Beds / 2 Baths / Co-op,Chelsea/Hudson Yards,Manhattan
"195 Hudson Street, Apt. 2E",11950,"2 Beds / 2 Baths / 1,800 Sq. Ft. / Condo",Tribeca,Manhattan
"445 Fifth Avenue, Apt. 29A1",4400,1 Bed / 1 Bath / 700 Sq. Ft. / Condo,Murray Hill,Manhattan
"259 Bowery, Apt. 5",12500,1 Bed / 1 Bath / Condo,Lower East Side,Manhattan
"225 West 15th Street, Apt. 1B",2200,Studio / 1 Bath / Rental,Chelsea/Hudson Yards,Manhattan
"415 Main Street, Apt. 15G",6000,3 Beds / 3 Baths / Condo,Roosevelt Island,Manhattan
"460 West 42nd Street, Apt. 55F",5990,"1 Bed / 2 Baths / 1,064 Sq. Ft. / Condo",Midtown West,Manhattan
"534 Hudson Street, Apt. PHB",20000,"3 Beds / 2 Baths / 2,365 Sq. Ft. / Condo",West Village,Manhattan
"40 Broad Street, Apt. 17C",3195,Studio / 1 Bath / 585 Sq. Ft. / Condo,Financial District,Manhattan
"447 West 18th Street, Apt. PH9-10A",42000,"5 Beds / 5 Baths / 3,950 Sq. Ft. / Condo",Chelsea/Hudson Yards,Manhattan
"200 East 66th Street, Apt. PHB2006",10000,2 Beds / 2 Baths / Condo,Upper East Side,Manhattan
"555 West 23rd Street, Apt. N3C",3400,Studio / 1 Bath / Condo,Chelsea/Hudson Yards,Manhattan
119 East 38th Street,28500,4 Beds / 5 Baths / Rental,Murray Hill,Manhattan
"119 East 38th Street, Apt. Garden...",18500,2 Units / 6 Floors / Mixed Use Townhouse,Murray Hill,Manhattan
"111 West 67th Street, Apt. 41D",8800,"2 Beds / 2 Baths / 1,390 Sq. Ft. / Condo",Upper West Side,Manhattan
"163-165 West 18th Street, Apt. 7C",8499,"2 Beds / 2 Baths / 1,250 Sq. Ft. / Condo",Chelsea/Hudson Yards,Manhattan
"215 East 96th Street, Apt. 36A",4200,1 Bed / 1 Bath / 872 Sq. Ft. / Condo/Co-op,Upper East Side,Manhattan
"167 East 61st Street, Apt. 24B",5500,1 Bed / 1 Bath / 980 Sq. Ft. / Co-op,Upper East Side,Manhattan
"240 Central Park South, Apt. 1P",13000,"1,700 Sq. Ft. / Healthcare Property",Central Park South,Manhattan
"168 Fifth Avenue, Apt. 401",9200,2 Beds / 2 Baths / Rental,Flatiron,Manhattan
"350 West 50th Street, Apt. 12A",2500,Studio / 1 Bath / 417 Sq. Ft. / Condo,Clinton,Manhattan
75 Central Park West,33000,"3,000 Sq. Ft. / Healthcare Property",Upper West Side,Manhattan
"40 Mercer Street, Apt. 32",38000,3 Beds / 3 Baths / Condo,Soho/Nolita,Manhattan
"306 West 100th Street, Apt. 55",3600,2 Beds / 1 Bath / Co-op,Upper West Side,Manhattan
"845 United Nations Plaza, Apt. 44C",16500,"2 Beds / 3 Baths / 2,087 Sq. Ft. / Condo",Midtown East,Manhattan
"455 East 86th Street, Apt. 11A",7400,"3 Beds / 2 Baths / 1,500 Sq. Ft. / Condo",Upper East Side,Manhattan
"111 Fulton Street, Apt. 817",3695,Studio / 1 Bath / 900 Sq. Ft. / Condo,Financial District,Manhattan
"123 Washington Street, Apt. PH56H",4950,1 Bed / 1 Bath / Condo,Financial District,Manhattan
"17 West 54th Street, Apt. 10C",3900,1 Bed / 1 Bath / Co-op,Midtown West,Manhattan
"13 East 69th Street, Apt. 3R",8400,"2 Units / 5 Floors / 1,655 Sq. Ft. / Multi-Family Townhouse",Upper East Side,Manhattan
"13 East 69th Street, Apt. 2F",12800,2 Units / 5 Floors / Multi-Family Townhouse,Upper East Side,Manhattan
"121 East 23rd Street, Apt. 10D",5950,"2 Beds / 2 Baths / 1,012 Sq. Ft. / Condo",Gramercy,Manhattan
"220 East 63rd Street, Apt. Lobby N",6800,896 Sq. Ft. / Healthcare Property,Upper East Side,Manhattan
"353 Central Park West, Apt. 3 FL",19950,"4 Beds / 4 Baths / 2,733 Sq. Ft. / Condo",Upper West Side,Manhattan
"56 Leonard Street, Apt. 6WEST",29000,"3 Beds / 3 Baths / 2,983 Sq. Ft. / Condo",Tribeca,Manhattan
"2009 Fifth Avenue, Apt. 1",7995,"2 Units / 4 Floors / 2,850 Sq. Ft. / Multi-Family Townhouse",Harlem,Manhattan
"137 West 126th Street, Apt. 3",2850,3 Units / 3 Floors / 675 Sq. Ft. / Multi-Family Townhouse,Harlem,Manhattan
"220 Riverside Boulevard, Apt. 5W",3250,Studio / 1 Bath / Condo,Upper West Side,Manhattan
"420 Central Park West, Apt. 5J",2980,1 Bed / 1 Bath / Condo,Upper West Side,Manhattan
"1085 Park Avenue, Apt. 11-B",20500,3 Beds / 3 Baths / Rental,Upper East Side,Manhattan
"70 West 45th Street, Apt. PH3(D)",35000,5 Beds / 4 Baths / Condo,Midtown West,Manhattan
"2628 Broadway, Apt. 34A",14500,"3 Beds / 3 Baths / 2,126 Sq. Ft. / Condo",Upper West Side,Manhattan
"106 Central Park South, Apt. 32B",8500,"2 Beds / 2 Baths / 1,468 Sq. Ft. / Condo",Central Park South,Manhattan
"60 Riverside Boulevard, Apt. 1101",18000,"4 Beds / 4 Baths / 2,505 Sq. Ft. / Condo",Upper West Side,Manhattan
"117 East 57th Street, Apt. 28B",6500,"2 Beds / 2 Baths / 1,400 Sq. Ft. / Condo",Midtown East,Manhattan
"69 Tiemann Place, Apt. 25",1995,1 Bed / 1 Bath / Co-op,Morningside Heights,Manhattan
"1 Central Park South, Apt. 1807",12950,"1 Bed / 1 Bath / 1,390 Sq. Ft. / Condo",Central Park South,Manhattan
"200 East 66th Street, Apt. B18-04",8950,"2 Beds / 2 Baths / 1,442 Sq. Ft. / Condo",Upper East Side,Manhattan
"1055 Park Avenue, Apt. 1",28500,"4 Beds / 3 Baths / 3,212 Sq. Ft. / Condo",Carnegie Hill,Manhattan
"30 West Street, Apt. 28G",7150,"2 Beds / 2 Baths / 1,190 Sq. Ft. / Condo",Battery Park City,Manhattan
"10 Barclay Street, Apt. 45-C",6895,1 Bed / 1 Bath / Rental,Tribeca,Manhattan
"322 West 57th Street, Apt. 55F",7000,"2 Beds / 2 Baths / 1,230 Sq. Ft. / Condo",Midtown West,Manhattan
"520 West 28th Street, Apt. 14",18000,2 Beds / 2 Baths / Condo,Chelsea/Hudson Yards,Manhattan
"301 East 63rd Street, Apt. 14E",3400,1 Bed / 1 Bath / Co-op,Upper East Side,Manhattan
240 East 62nd Street,23500,4 Floors / Single Family Townhouse,Upper East Side,Manhattan
"250 East 54th Street, Apt. PH1",19750,"2 Beds / 2 Baths / 2,300 Sq. Ft. / Condo",Midtown East,Manhattan
"1 Central Park South, Apt. 1805",9950,"1 Bed / 1 Bath / 1,039 Sq. Ft. / Condo",Central Park South,Manhattan
"16 West 40th Street, Apt. 26A",12995,"2 Beds / 2 Baths / 1,650 Sq. Ft. / Condo",Midtown West,Manhattan
"9 East 74th Street, Apt. 5B",4150,6 Floors / 750 Sq. Ft. / Multi-Family Townhouse,Upper East Side,Manhattan
"13 Gramercy Park South, Apt. 2 FL",24000,7 Units / 5 Floors / Multi-Family Townhouse,Gramercy,Manhattan
"252 South Street, Apt. 8B",3950,1 Bed / 1 Bath / 696 Sq. Ft. / Condo,Lower East Side,Manhattan
121 East 79th Street,10625,"5 Floors / 1,500 Sq. Ft. / Healthcare Property",Upper East Side,Manhattan
"40 West 72nd Street, Apt. A",20000,"2,000 Sq. Ft. / Healthcare Property",Upper West Side,Manhattan
"320 East 69th Street, Apt. PROF",4937,2 Units / 5 Floors / 697 Sq. Ft. / Healthcare Property,Upper East Side,Manhattan
"520 West 28th Street, Apt. 30",15000,"2 Beds / 2 Baths / 1,717 Sq. Ft. / Condo",Chelsea/Hudson Yards,Manhattan
"102 Prince Street, Apt. 5",50000,"2 Beds / 2 Baths / 4,380 Sq. Ft. / Condo",Soho/Nolita,Manhattan
"1600 Broadway, Apt. 16F",3500,Studio / 1 Bath / Condo,Midtown West,Manhattan
"340 East 64th Street, Apt. PHBC",17500,4 Beds / 5 Baths / Condo,Upper East Side,Manhattan
"210 West 77th Street, Apt. 10E",16995,"3 Beds / 3 Baths / 2,082 Sq. Ft. / Condo",Upper West Side,Manhattan
"220 Central Park South, Apt. 40A",59000,"3 Beds / 3 Baths / 3,114 Sq. Ft. / Condo",Central Park South,Manhattan
"2027 Third Avenue, Apt. Ground Floor",3300,22 Units / 5 Floors / Healthcare Property,Harlem,Manhattan
"111 West 67th Street, Apt. 42A",24900,"3 Beds / 5 Baths / 3,405 Sq. Ft. / Condo",Upper West Side,Manhattan
470 West 143rd Street,15000,"5 Floors / 5,423 Sq. Ft. / Single Family Townhouse",Hamilton Heights,Manhattan
"229 West 97th Street, Apt. 1D",6499,"5.5 Beds / 1 Bath / 1,100 Sq. Ft. / Condo/Co-op",Upper West Side,Manhattan
"400 East 59th Street, Apt. 3F",8000,"2 Beds / 2 Baths / 1,100 Sq. Ft. / Co-op",Upper East Side,Manhattan
"240 Riverside Boulevard, Apt. PH-...",68000,"3 Beds / 4 Baths / 4,673 Sq. Ft. / Condo",Upper West Side,Manhattan
"200 Central Park South, Apt. 23B",11000,1 Bed / 1 Bath / Co-op,Central Park South,Manhattan
"10 Barclay Street, Apt. 17-A",4495,1 Bed / 1 Bath / Rental,Tribeca,Manhattan
"310 Greenwich Street, Apt. 24-K",5295,2 Beds / 1 Bath / Rental,Tribeca,Manhattan
"201 East 87th Street, Apt. 15D",4850,1 Bed / 1 Bath / Rental,Upper East Side,Manhattan
"530 Laguardia Place, Apt. 2",19500,3 Beds / 3 Baths / Co-op,Greenwich Village,Manhattan
"459 West 18th Street, Apt. CML",11900,"Studio / 1 Bath / 2,100 Sq. Ft. / Condo",Chelsea/Hudson Yards,Manhattan
"88 Leonard Street, Apt. 419",5950,1 Bed / 1 Bath / Rental,Tribeca,Manhattan
"150 West 56th Street, Apt. 3310",4050,1 Bed / 1 Bath / 865 Sq. Ft. / Condo,Midtown West,Manhattan
"200 East 62nd Street, Apt. GF",13933,"Studio / 3 Baths / 1,672 Sq. Ft. / Condo",Upper East Side,Manhattan
"98 Eighth Avenue, Apt. 3F",2980,5 Units / 3 Floors / Mixed Use Townhouse,Chelsea/Hudson Yards,Manhattan
"98 Eighth Avenue, Apt. 2combo",6880,5 Units / 3 Floors / Mixed Use Townhouse,Chelsea/Hudson Yards,Manhattan
"98 Eighth Avenue, Apt. 3R",2500,5 Units / 3 Floors / Mixed Use Townhouse,Chelsea/Hudson Yards,Manhattan
"188 Edgecombe Avenue, Apt. 1",3950,"4 Units / 4 Floors / 1,400 Sq. Ft. / Multi-Family Townhouse",Harlem,Manhattan
"160 Central Park South, Apt. 1608",5700,Studio / 1 Bath / Condo,Central Park South,Manhattan
"147 Lexington Avenue, Apt. PH",13500,3 Units / 5 Floors / Multi-Family Townhouse,Murray Hill,Manhattan
"215 West 109th Street, Apt. 1-E",2250,2 Beds / 1 Bath / Rental,Morningside Heights,Manhattan
"444 East 58th Street, Apt. 3D",3600,2 Beds / 1 Bath / Co-op,Sutton Area,Manhattan
"212 Warren Street, Apt. 18F",27500,"5 Beds / 4 Baths / 3,346 Sq. Ft. / Condo",Battery Park City,Manhattan
"345 East 62nd Street, Apt. GRND FL",8500,5 Units / 6 Floors / Townhouse,Upper East Side,Manhattan
"40 Broad Street, Apt. PH4C",14500,"3 Beds / 3 Baths / 2,440 Sq. Ft. / Condo",Financial District,Manhattan
"23 East 22nd Street, Apt. 16 FL",25000,"3 Beds / 3 Baths / 2,723 Sq. Ft. / Condo",Flatiron,Manhattan
"322 West 57th Street, Apt. 42PU",4000,Studio / 1 Bath / Condo,Midtown West,Manhattan
"817 Sixth Avenue, Apt. GROUND FL",28800,1 Floor / Townhouse,empty neighborhood,Manhattan
231 East 62nd Street,29000,"5 Floors / 3,725 Sq. Ft. / Single Family Townhouse",Upper East Side,Manhattan
14 Saint Lukes Place,45000,4 Floors / Single Family Townhouse,West Village,Manhattan
"99 Avenue B, Apt. 1B",3500,1 Bed / 1 Bath / Co-op,East Village,Manhattan
"251 West 138th Street, Apt. TRIPLEX",10000,2 Units / 4 Floors / Multi-Family Townhouse,Harlem,Manhattan
"350 West 51st Street, Apt. Medical",47168,"142 Units / 17 Floors / 9,279 Sq. Ft. / Healthcare Property",Clinton,Manhattan
"110 East 40th Street, Apt. 704",13500,"2,840 Sq. Ft. / Healthcare Property",Midtown East,Manhattan
"4 West 58th Street, Apt. 9Fl",43117,"14 Floors / 5,174 Sq. Ft. / Healthcare Property",Central Park South,Manhattan
800A Fifth Avenue,15488,Healthcare Property,Upper East Side,Manhattan
"265 East 66th Street, Apt. 17C",8600,2 Beds / 2 Baths / Rental,Upper East Side,Manhattan
40 West 72nd Street,12101,"1,500 Sq. Ft. / Healthcare Property",Upper West Side,Manhattan
"165 East 66th Street, Apt. 8-H",4250,1 Bed / 1 Bath / 776 Sq. Ft. / Rental,Upper East Side,Manhattan
"15 West 63rd Street, Apt. 24B",29500,"4 Beds / 4 Baths / 2,909 Sq. Ft. / Condo",Upper West Side,Manhattan
"1775 York Avenue, Apt. 6B",6195,2 Beds / 2 Baths / Rental,Upper East Side,Manhattan
"220 East 72nd Street, Apt. PH-C",6000,1 Bed / 1 Bath / Rental,Upper East Side,Manhattan
"210 East 68th Street, Apt. 16-G",6250,"2 Beds / 1 Bath / 1,151 Sq. Ft. / Rental",Upper East Side,Manhattan
"111 East 57th Street, Apt. 302",27280,"2,976 Sq. Ft. / Healthcare Property",Upper East Side,Manhattan
"110 East 60th Street, Apt. 703",18226,"15 Floors / 2,573 Sq. Ft. / Healthcare Property",Upper East Side,Manhattan
"111 East 57th Street, Apt. 303",20745,"2,263 Sq. Ft. / Healthcare Property",Upper East Side,Manhattan
"111 East 57th Street, Apt. 301",17894,"1,952 Sq. Ft. / Healthcare Property",Upper East Side,Manhattan
"111 East 57th Street, Apt. 101",20825,"2,940 Sq. Ft. / Healthcare Property",Upper East Side,Manhattan
"55 Thompson Street, Apt. 701",12750,"2 Beds / 2 Baths / 1,800 Sq. Ft. / Rental",Soho/Nolita,Manhattan
"400 East 57th Street, Apt. 16-C",6045,2 Beds / 2 Baths / Rental,Sutton Area,Manhattan
"333 East 56th Street, Apt. 4E",5195,2 Beds / 2 Baths / Rental,Sutton Area,Manhattan
"420 East 54th Street, Apt. 604",5080,2 Beds / 1 Bath / Rental,Sutton Area,Manhattan
"300 East 57th Street, Apt. 14D",5850,"2 Beds / 2 Baths / 1,125 Sq. Ft. / Rental",Sutton Area,Manhattan
"300 East 56th Street, Apt. 29-F",7787,3 Beds / 2 Baths / Rental,Sutton Area,Manhattan
"150 East 57th Street, Apt. PH-B1",7750,2 Beds / 2 Baths / Rental,Midtown East,Manhattan
"50 Murray Street, Apt. 1117",7950,"2 Beds / 2 Baths / 1,350 Sq. Ft. / Rental",Tribeca,Manhattan
"88 Leonard Street, Apt. 1118",6250,2 Beds / 1 Bath / Rental,Tribeca,Manhattan
"795 Fifth Avenue, Apt. 39",500000,"6 Beds / 6 Baths / 4,786 Sq. Ft. / Co-op",Upper East Side,Manhattan
"845 United Nations Plaza, Apt. 34DE",16900,"4 Beds / 5 Baths / 3,091 Sq. Ft. / Condo",Midtown East,Manhattan
"795 Fifth Avenue, Apt. 16",37000,"2 Beds / 2 Baths / 1,368 Sq. Ft. / Co-op",Upper East Side,Manhattan
"988 Fifth Avenue, Apt. PENTHOUSE",100000,"3 Beds / 3 Baths / 5,500 Sq. Ft. / Condo",Upper East Side,Manhattan
"460 West 20th Street, Apt. 5-F",6150,2 Beds / 2 Baths / Rental,Chelsea/Hudson Yards,Manhattan
"160 West 24th Street, Apt. 2-E",5459,1 Bed / 1 Bath / Rental,Chelsea/Hudson Yards,Manhattan
"77 West 24th Street, Apt. 6K",5995,"1 Bed / 1 Bath / 1,000 Sq. Ft. / Rental",Chelsea/Hudson Yards,Manhattan
"37 West 21st Street, Apt. 1305",5175,1 Bed / 1 Bath / 694 Sq. Ft. / Rental,Flatiron,Manhattan
"460 West 20th Street, Apt. PHB",5650,1 Bed / 1 Bath / Rental,Chelsea/Hudson Yards,Manhattan
"200 West 26th Street, Apt. PHC",5895,1 Bed / 1 Bath / 800 Sq. Ft. / Rental,Chelsea/Hudson Yards,Manhattan
"101 West 15th Street, Apt. 105",5220,1 Bed / 1 Bath / Rental,Chelsea/Hudson Yards,Manhattan
"101 West 15th Street, Apt. 304",5312,1 Bed / 1 Bath / Rental,Chelsea/Hudson Yards,Manhattan
"95 Christopher Street, Apt. 11-J",4900,1 Bed / 1 Bath / 622 Sq. Ft. / Rental,West Village,Manhattan
"100 Jane Street, Apt. 9-R",5225,1 Bed / 1 Bath / 722 Sq. Ft. / Rental,West Village,Manhattan
"155 West 21st Street, Apt. 10-I",5495,1 Bed / 2 Baths / Rental,Chelsea/Hudson Yards,Manhattan
"535 Hudson Street, Apt. 2-E",6000,2 Beds / 1 Bath / Rental,West Village,Manhattan
"666 Greenwich Street, Apt. 306",5126,1 Bed / 1 Bath / 806 Sq. Ft. / Rental,West Village,Manhattan
"317 Second Avenue, Apt. 10",5400,3 Beds / 1 Bath / Rental,Gramercy,Manhattan
"535 Hudson Street, Apt. 5-A",5500,2 Beds / 1 Bath / Rental,West Village,Manhattan
"336 East 18th Street, Apt. A4",4595,2 Beds / 1 Bath / Rental,Gramercy,Manhattan
