Address,Price,Description,Neighborhood,Boro
"20 Pine Street, Apt. 1104",6150,"2 Beds / 2 Baths / 1,280 Sq. Ft. / Condo",Financial District,Manhattan
"516 West 47th Street, Apt. N4K",2800,Studio / 1 Bath / 471 Sq. Ft. / Condo,Clinton,Manhattan
"222 Park Avenue South, Apt. 11E",29950,"5 Beds / 4 Baths / 3,500 Sq. Ft. / Co-op",Gramercy,Manhattan
"39 Jane Street, Apt. 2D",3095,Loft / 1 Bath / Rental,West Village,Manhattan
"77 East 12th Street, Apt. 17B",3400,Studio / 1 Bath / Co-op,Greenwich Village,Manhattan
"404 East 66th Street, Apt. 4B",2600,Studio / 1 Bath / 560 Sq. Ft. / Condo,Upper East Side,Manhattan
"401 East 60th Street, Apt. 23B",7295,"2 Beds / 2 Baths / 1,300 Sq. Ft. / Condo",Upper East Side,Manhattan
"258 Riverside Drive, Apt. 3B",7750,3 Beds / 2 Baths / Co-op,Upper West Side,Manhattan
"15 Rivington Street, Apt. PH",22000,"2 Beds / 3 Baths / 2,100 Sq. Ft. / Condo",Lower East Side,Manhattan
"52 East End Avenue, Apt. 22B",4000,1 Bed / 1 Bath / Condo,Upper East Side,Manhattan
"588 West End Avenue, Apt. 10B",6500,2 Beds / 1 Bath / Co-op,Upper West Side,Manhattan
"240 Riverside Boulevard, Apt. 19B",12995,"3 Beds / 3 Baths / 2,147 Sq. Ft. / Condo",Upper West Side,Manhattan
"11 East 36th Street, Apt. 602",4250,1 Bed / 1 Bath / 819 Sq. Ft. / Condo,Murray Hill,Manhattan
"120 Greenwich Street, Apt. 6B",2800,Loft / 1 Bath / Condo,Financial District,Manhattan
"285 West 110th Street, Apt. 2A",7995,3 Beds / 3 Baths / Condo,Upper West Side,Manhattan
"416 East 83rd Street, Apt. D5",1850,Studio / 1 Bath / Co-op,Upper East Side,Manhattan
"327 West 22nd Street, Apt. 8",17000,"9 Units / 5 Floors / 1,800 Sq. Ft. / Multi-Family Townhouse",Chelsea/Hudson Yards,Manhattan
"301 East 95th Street, Apt. 4B",2225,1 Bed / 1 Bath / Rental,Upper East Side,Manhattan
"251 East 13th Street, Apt. 2",4000,2 Beds / 1 Bath / Rental,East Village,Manhattan
"422 West 20th Street, Apt. PARLOR A",11000,3 Beds / 2 Baths / Condo,Chelsea/Hudson Yards,Manhattan
"17 Convent Avenue, Apt. 5D",3350,1 Bed / 1 Bath / 743 Sq. Ft. / Condo,Harlem,Manhattan
"157 West 57th Street, Apt. 56C",59000,"4 Beds / 4 Baths / 3,466 Sq. Ft. / Condo",Central Park South,Manhattan
"25 Charles Street, Apt. 5A",6200,2 Beds / 1 Bath / 810 Sq. Ft. / Co-op,West Village,Manhattan
"17 West 67th Street, Apt. 3B",4000,1 Bed / 1 Bath / 750 Sq. Ft. / Co-op,Upper West Side,Manhattan
"350 West 50th Street, Apt. 3II",2900,Studio / 1 Bath / 522 Sq. Ft. / Condo,Clinton,Manhattan
"116 Central Park South, Apt. 3A",4799,1 Bed / 1 Bath / 915 Sq. Ft. / Condo,Central Park South,Manhattan
5 West 87th Street,27000,"5 Floors / 6,534 Sq. Ft. / Single Family Townhouse",Upper West Side,Manhattan
117 Charles Street,18000,"4 Floors / 2,187 Sq. Ft. / Single Family Townhouse",West Village,Manhattan
"105 West 77th Street, Apt. 3B",2500,Studio / 1 Bath / Condo,Upper West Side,Manhattan
"380 Lenox Avenue, Apt. PHG",9000,"3 Beds / 2 Baths / 2,116 Sq. Ft. / Condo",Harlem,Manhattan
"157 West 82nd Street, Apt. 1",10995,4 Floors / Multi-Family Townhouse,Upper West Side,Manhattan
"50 Riverside Boulevard, Apt. 9N",8000,2 Beds / 2 Baths / Condo,Upper West Side,Manhattan
"150 West 51st Street, Apt. 1609",3900,2 Beds / 1 Bath / Condo,Midtown West,Manhattan
"343 East 76th Street, Apt. 5D",2495,Studio / 1 Bath / Rental,Upper East Side,Manhattan
"105 West 77th Street, Apt. 3F",2800,1 Bed / 1 Bath / Condo,Upper West Side,Manhattan
"540 West 149th Street, Apt. 4",4500,2 Beds / 2 Baths / Condo,Hamilton Heights,Manhattan
"243 West 60th Street, Apt. 2C",4350,1 Bed / 1 Bath / Condo,Upper West Side,Manhattan
"130 West 30th Street, Apt. 9A",7900,2 Beds / 2 Baths / Condo,Chelsea/Hudson Yards,Manhattan
"22 Renwick Street, Apt. 8A",7200,"2 Beds / 2 Baths / 1,101 Sq. Ft. / Condo",Soho/Nolita,Manhattan
"455 Central Park West, Apt. 23B",6995,"2 Beds / 2 Baths / 1,333 Sq. Ft. / Condo",Upper West Side,Manhattan
"447 West 18th Street, Apt. 3C",8200,2 Beds / 2 Baths / Condo,Chelsea/Hudson Yards,Manhattan
"141 Fifth Avenue, Apt. 4AB",23000,3 Beds / 3 Baths / Condo,Flatiron,Manhattan
"540 West 28th Street, Apt. 7F",4500,1 Bed / 1 Bath / Condo,Chelsea/Hudson Yards,Manhattan
"204 East 7th Street, Apt. 4",2300,1 Bed / 1 Bath / Co-op,East Village,Manhattan
"106 Waverly Place, Apt. 3",10000,"3 Beds / 2 Baths / 1,520 Sq. Ft. / Condo",Greenwich Village,Manhattan
"1 Irving Place, Apt. G9A",6000,1 Bed / 1 Bath / 741 Sq. Ft. / Condo,Gramercy,Manhattan
"50 West 34th Street, Apt. 16B",2950,Studio / 1 Bath / Rental,Midtown West,Manhattan
"20 Pine Street, Apt. 502",4800,"1 Bed / 1 Bath / 1,100 Sq. Ft. / Condo",Financial District,Manhattan
"92 Perry Street, Apt. 16",4500,1 Bed / 1 Bath / 546 Sq. Ft. / Condo,West Village,Manhattan
"130 West 79th Street, Apt. 9C",3595,1 Bed / 1 Bath / Condo,Upper West Side,Manhattan
"135 East 54th Street, Apt. 7L",3200,1 Bed / 1 Bath / 725 Sq. Ft. / Condo,Midtown East,Manhattan
"200 RSB, Apt. 19G",5950,"2 Beds / 2 Baths / 1,200 Sq. Ft. / Condo",Upper West Side,Manhattan
"302 West 76th Street, Apt. 4b",2000,22 Units / 6 Floors / Multi-Family Townhouse,Upper West Side,Manhattan
"2098 Frederick Douglass Blvd, Apt...",4000,2 Beds / 2 Baths / 950 Sq. Ft. / Condo,Harlem,Manhattan
"88 Greenwich Street, Apt. 1602",2995,Studio / 1 Bath / Condo,Financial District,Manhattan
"450 East 83rd Street, Apt. 21A",8500,"2 Beds / 2 Baths / 1,613 Sq. Ft. / Condo",Upper East Side,Manhattan
"40 Mercer Street, Apt. 27",14500,2 Beds / 2 Baths / Condo,Soho/Nolita,Manhattan
"315 Seventh Avenue, Apt. 5B",3700,1 Bed / 1 Bath / 750 Sq. Ft. / Condo,Chelsea/Hudson Yards,Manhattan
"1 Central Park South, Apt. 1907",14000,"2 Beds / 2 Baths / 1,378 Sq. Ft. / Condo",Central Park South,Manhattan
"143 Reade Street, Apt. 9A",24500,"4 Beds / 3 Baths / 2,760 Sq. Ft. / Condo",Tribeca,Manhattan
"41 West 72nd Street, Apt. 10B",3500,1 Bed / 1 Bath / Condo,Upper West Side,Manhattan
"200 East 66th Street, Apt. A1905",6750,1 Bed / 1 Bath / 919 Sq. Ft. / Condo,Upper East Side,Manhattan
"242 East 3rd Street, Apt. 13",3100,2 Beds / 1 Bath / Rental,East Village,Manhattan
"101 Warren Street, Apt. 2930",12000,2 Beds / 2 Baths / Condo,Tribeca,Manhattan
"22 East 66th Street, Apt. 3",4950,1 Bed / 1 Bath / Mixed Use Townhouse,Upper East Side,Manhattan
"21 East 12th Street, Apt. 8D",8495,"1 Bed / 1 Bath / 1,006 Sq. Ft. / Condo",Greenwich Village,Manhattan
"2147 Second Avenue, Apt. 2A",2800,2 Beds / 1 Bath / Rental,East Harlem,Manhattan
"7 West 92nd Street, Apt. 2B",2200,1 Bed / 1 Bath / Co-op,Upper West Side,Manhattan
"40 West 83rd Street, Apt. A",19750,"2 Units / 5 Floors / 4,225 Sq. Ft. / Multi-Family Townhouse",Upper West Side,Manhattan
"17 West 87th Street, Apt. 2",5750,"10 Units / 5 Floors / 1,200 Sq. Ft. / Multi-Family Townhouse",Upper West Side,Manhattan
"330 East 70th Street, Apt. 3K",2300,Studio / 1 Bath / 400 Sq. Ft. / Co-op,Upper East Side,Manhattan
"285 Lafayette Street, Apt. PHA",35000,"4 Beds / 3 Baths / 2,890 Sq. Ft. / Condo",Soho/Nolita,Manhattan
"200 East 61st Street, Apt. 5FG",13000,"3 Beds / 3 Baths / 2,124 Sq. Ft. / Condo",Upper East Side,Manhattan
"1045 Park Avenue, Apt. 7AB",30000,4 Beds / 4 Baths / Co-op,Carnegie Hill,Manhattan
"80 Riverside Boulevard, Apt. 7C",10000,3 Beds / 3 Baths / Condo,Upper West Side,Manhattan
"325 Fifth Avenue, Apt. 21-G",4200,1 Bed / 1 Bath / 816 Sq. Ft. / Condo,Murray Hill,Manhattan
"61 Fifth Avenue, Apt. DUPLEX 2",35000,"3 Beds / 3 Baths / 4,324 Sq. Ft. / Condo",Greenwich Village,Manhattan
"15 Union Square West, Apt. Penthouse",59500,"3 Beds / 3 Baths / 3,164 Sq. Ft. / Condo",Flatiron,Manhattan
"173 Bleecker Street, Apt. 10",2650,1 Bed / 1 Bath / Condo/Co-op,Greenwich Village,Manhattan
"225 East 46th Street, Apt. 2G",2700,Studio / 1 Bath / Condo,Midtown East,Manhattan
"251 East 13th Street, Apt. 5",4000,2 Beds / 1 Bath / Rental,East Village,Manhattan
"186 Riverside Drive, Apt. 13B",8775,3 Beds / 2 Baths / Co-op,Upper West Side,Manhattan
"30 West 63rd Street, Apt. 14F",4250,1 Bed / 1 Bath / Condo,Upper West Side,Manhattan
"17 East 67th Street, Apt. 1A",6667,"1,000 Sq. Ft. / Healthcare Property",Upper East Side,Manhattan
"345 East 86th Street, Apt. 18AB",10000,3 Beds / 3 Baths / Co-op,Upper East Side,Manhattan
"161 East 81st Street, Apt. 4E",3650,3 Beds / 1 Bath / Rental,Upper East Side,Manhattan
"111 Central Park North, Apt. 11c",7700,"2 Beds / 2 Baths / 1,422 Sq. Ft. / Condo",Harlem,Manhattan
"1600 Broadway, Apt. 14G",5900,"2 Beds / 2 Baths / 1,145 Sq. Ft. / Condo",Midtown West,Manhattan
"77 East 12th Street, Apt. 5D",4295,1 Bed / 1 Bath / Co-op,Greenwich Village,Manhattan
"140 West 23rd Street, Apt. 5D",2950,Studio / 1 Bath / 540 Sq. Ft. / Condo,Chelsea/Hudson Yards,Manhattan
26 East 126th Street,12000,3 Floors / Single Family Townhouse,Harlem,Manhattan
"558 West 162nd Street, Apt. 2",2850,1 Bed / 1 Bath / 900 Sq. Ft. / Rental,Washington Heights,Manhattan
