"37-37 88th Street, Apt. F9",2100,1 Bed / 1 Bath / 800 Sq. Ft. / Rental,Jackson Heights,Queens
"32-42 33rd Street, Apt. F9",2175,1 Bed / 1 Bath / Rental,Astoria,Queens
"28-40 Jackson Avenue, Apt. 25-H",3695,1 Bed / 1 Bath / Rental,Long Island City,Queens
"43-09 47th Avenue, Apt. 5L",1950,Studio / 1 Bath / Rental,Sunnyside,Queens
"28-40 Jackson Avenue, Apt. 22-L",3746,1 Bed / 1 Bath / Rental,Long Island City,Queens
"65-15 Yellowstone Boulevard, Apt. 3D",1675,1 Bed / 1 Bath / Co-op,Forest Hills,Queens
"41-30 46th Street, Apt. 1B",2200,1 Bed / 1 Bath / Co-op,Sunnyside,Queens
CRESCENT Street,4500,"2 Beds / 2 Baths / 1,191 Sq. Ft. / Condo/Co-op",Long Island City,Queens
"20-20 23rd Street, Apt. 2",2550,2 Floors / Multi-Family Townhouse,Astoria,Queens
28th Avenue,1950,2 Beds / 1 Bath / Rental,Astoria,Queens
"28-30 Jackson Avenue, Apt. PH-2A",3583,1 Bed / 1 Bath / Rental,Long Island City,Queens
Astoria Boulevard,2099,Studio / 1 Bath / 482 Sq. Ft. / Condo,Astoria,Queens
"25-21 43rd Avenue, Apt. 410",3200,1 Bed / 1 Bath / 700 Sq. Ft. / Condo/Co-op,Long Island City,Queens
"32-37 47th Street, Apt. 2",2700,"2 Beds / 1 Bath / 1,000 Sq. Ft. / Rental",Astoria,Queens
Hunter Street,4308,"2 Beds / 2 Baths / 1,285 Sq. Ft. / Condo",Long Island City,Queens
"30-85 Vernon Boulevard, Apt. 5A",3300,2 Beds / 1 Bath / Condo,Astoria,Queens
Yellowstone Boulevard,2400,1 Bed / 1 Bath / Rental,Forest Hills,Queens
"18-10 Astoria Park South, Apt. 2",2875,3 Beds / 1 Bath / House,Astoria,Queens
"41-26 27th Street, Apt. 6F",2500,1 Bed / 1 Bath / Condo,Long Island City,Queens
"31-57 31st Street, Apt. PHA",2699,Studio / 1 Bath / Rental,Astoria,Queens
"28-30 Jackson Avenue, Apt. 38-H",3756,1 Bed / 1 Bath / Rental,Long Island City,Queens
68th Avenue,3199,2 Beds / 2 Baths / Rental,Forest Hills,Queens
Skillman Avenue,2600,2 Beds / 1 Bath / Rental,Woodside,Queens
JACKSON Avenue,2700,1 Bed / 1 Bath / Condo/Co-op,Long Island City,Queens
"42-15 Crescent Street, Apt. 5K",3200,1 Bed / 1 Bath / 600 Sq. Ft. / Rental,Long Island City,Queens
Center Boulevard,7100,"3 Beds / 3 Baths / 1,653 Sq. Ft. / Condo",Long Island City,Queens
35-33 34th Street,3200,3 Beds / 1 Bath / House,Astoria,Queens
"34-04 34th Avenue, Apt. B-1",3575,4 Beds / 1 Bath / Rental,Astoria,Queens
69th Street,2100,2 Beds / 1 Bath / 750 Sq. Ft. / Rental,Woodside,Queens
60-68 Putnam Avenue,3400,4 Beds / 2 Baths / House,Ridgewood,Queens
33rd Street,2650,2 Beds / 1 Bath / Rental,Astoria,Queens
38th Street,2000,1 Bed / 1 Bath / 650 Sq. Ft. / Rental,Astoria,Queens
29th Street,2350,1 Bed / 1 Bath / Rental,Astoria,Queens
29th Street,1725,Studio / 1 Bath / Rental,Astoria,Queens
29th Street,2275,1 Bed / 1 Bath / Rental,Astoria,Queens
