Address,Neighborhood,Price,Beds,Baths,Boro
"46 South 2nd Street, Unit 1C",Williamsburg,5000,2 BD,2.5 BA,Brooklyn
"365 Bridge Street, Unit 3L",Downtown Brooklyn,3250,1 BD,1 BA,Brooklyn
"3320 Ave H, Unit 3B",East Flatbush,2295,2 BD,1 BA,Brooklyn
"1881 Shore Parkway, Unit 2",Gravesend,2300,3 BD,2 BA,Brooklyn
"111 Lawrence Street, Unit 31C",Downtown Brooklyn,3094,Studio,1 BA,Brooklyn
125 North 10th Street,Williamsburg,5700,2 BD,2 BA,Brooklyn
"23 South Portland Avenue, Unit 1",Fort Greene,13450,3 BD,3.5 BA,Brooklyn
"144 North 8th Street, Unit 12C",Williamsburg,4500,1 BD,1 BA,Brooklyn
"416 Clermont Avenue, Unit 3R",Fort Greene,3000,1 BD,1 BA,Brooklyn
"330 Mac Donough Street, Unit 2",Bedford-Stuyvesant,2350,2 BD,1 BA,Brooklyn
"860 Prospect Place, Unit 1",Crown Heights,5750,3 BD,2.5 BA,Brooklyn
"1444 Herkimer Street, Unit 2",Bedford-Stuyvesant,2300,3 BD,1 BA,Brooklyn
"74 Grand Avenue, Unit 3E",Clinton Hill,2900,1 BD,1 BA,Brooklyn
"19 Grace Court, Unit 4B",Brooklyn Heights,9230,4 BD,3 BA,Brooklyn
"1050 Decatur Street, Unit 1RSB",Bushwick,2975,3 BD,2 BA,Brooklyn
"242 Montrose Avenue, Unit 1R",East Williamsburg,3200,2 BD,1 BA,Brooklyn
"328-a Irving Avenue, Unit 1SB",Bushwick,2000,2 BD,1 BA,Brooklyn
"101 Bedford Avenue, Unit C307",Williamsburg,3900,1 BD,1 BA,Brooklyn
"527 Lincoln Place, Unit 502",Crown Heights,3700,2 BD,1 BA,Brooklyn
"1767 Fulton Street, Unit 2FSB",Bedford-Stuyvesant,2600,3 BD,1 BA,Brooklyn
"529 5th Street, Unit 1R",Central Slope,5295,4 BD,2 BA,Brooklyn
"529 5th Street, Unit 1R",Central Slope,5295,4 BD,2 BA,Brooklyn
"16 Herkimer Court, Unit 1",Bedford-Stuyvesant,1800,2 BD,1 BA,Brooklyn
"6803 3rd Avenue, Unit A3",Bay Ridge,2300,2 BD,1 BA,Brooklyn
"46 South 2nd Street, Unit 1C",Williamsburg,5000,2 BD,2.5 BA,Brooklyn
"365 Bridge Street, Unit 3L",Downtown Brooklyn,3250,1 BD,1 BA,Brooklyn
"3320 Ave H, Unit 3B",East Flatbush,2295,2 BD,1 BA,Brooklyn
"1881 Shore Parkway, Unit 2",Gravesend,2300,3 BD,2 BA,Brooklyn
"111 Lawrence Street, Unit 31C",Downtown Brooklyn,3094,Studio,1 BA,Brooklyn
"618 Bushwick Avenue, Unit 311",Bushwick,4373,2 BD,1 BA,Brooklyn
"406 Tompkins Avenue, Unit 4",Bedford-Stuyvesant,1999,2 BD,1 BA,Brooklyn
406 Tompkins Avenue,Bedford-Stuyvesant,1999,2 BD,1 BA,Brooklyn
810 Broadway,Bedford-Stuyvesant,10995,2 BD,3.5 BA,Brooklyn
"717 Manhattan Avenue, Unit 3A",Greenpoint,10995,4 BD,3 BA,Brooklyn
"101 Lafayette Avenue, Unit 11K",Fort Greene,2400,Studio,1 BA,Brooklyn
"344 14th Street, Unit 4L",South Slope,2550,2 BD,1 BA,Brooklyn
"246 Sackett Street, Unit 1",Carroll Gardens,3200,2 BD,1 BA,Brooklyn
"729 Lafayette Avenue, Unit 1G",Bedford-Stuyvesant,3138,3 BD,2 BA,Brooklyn
"50 Ocean Parkway, Unit 6A",Windsor Terrace,2500,1 BD,1 BA,Brooklyn
"2750 Homecrest Avenue, Unit 408",Sheepshead Bay,2282,2 BD,1 BA,Brooklyn
"3232 Shore Parkway, Unit 4E",Sheepshead Bay,1897,1 BD,1 BA,Brooklyn
"3232 Shore Parkway, Unit 1H",Sheepshead Bay,1925,1 BD,1 BA,Brooklyn
"2815 Coyle Street, Unit 308",Sheepshead Bay,1870,1 BD,1 BA,Brooklyn
"475 4th Street, Unit 1",Central Slope,2850,1 BD,1 BA,Brooklyn
"180 Montague Street, Unit 25B",Brooklyn Heights,3968,1 BD,1 BA,Brooklyn
"328 19th Street, Unit A2",Greenwood Heights,2400,2 BD,1 BA,Brooklyn
"561 East 93rd Street, Unit 2",Canarsie,2500,3 BD,1 BA,Brooklyn
"356 St Johns Place, Unit B",Prospect Heights,2415,1 BD,1 BA,Brooklyn
"356 St Johns Place, Unit B",Prospect Heights,2415,1 BD,1 BA,Brooklyn
"195 Washington Park, Unit 1",Fort Greene,3300,2 BD,1 BA,Brooklyn
"343 Gold Street, Unit 4114",Downtown Brooklyn,6705,3 BD,2 BA,Brooklyn
"385 Union Avenue, Unit 4H",East Williamsburg,3625,1 BD,1 BA,Brooklyn
"25 Washington Street, Unit 8D",DUMBO,4195,1 BD,1 BA,Brooklyn
"100 Willoughby Street, Unit 4K",Downtown Brooklyn,3310,Studio,1 BA,Brooklyn
"100 Willoughby Street, Unit 22C",Downtown Brooklyn,3135,Studio,1 BA,Brooklyn
"100 Willoughby Street, Unit 16R",Downtown Brooklyn,3170,1 BD,1 BA,Brooklyn
"242 Putnam, Unit 2",Bedford-Stuyvesant,1995,1 BD,1 BA,Brooklyn
1753 East 12th Street,Homecrest,2800,2 BD,1.5 BA,Brooklyn
"377 14th Street, Unit 3F",South Slope,3200,2 BD,1 BA,Brooklyn
"65 Atlantic Avenue, Unit 16",Brooklyn Heights,1850,Studio,1 BA,Brooklyn
325 Kent Avenue,Williamsburg,3020,Studio,1 BA,Brooklyn
"111 Lawrence Street, Unit 28H",Downtown Brooklyn,4668,2 BD,2 BA,Brooklyn
"1602 East 43rd Street, Unit C1",Flatlands,1650,1 BD,1 BA,Brooklyn
"577 Jerome Street, Unit 2",New Lots,2650,3 BD,2 BA,Brooklyn
"141 17th Street, Unit 2",Greenwood Heights,2100,1 BD,1 BA,Brooklyn
"139 North 10th Street, Unit 3A",Williamsburg,4490,2 BD,1 BA,Brooklyn
"684 Mac Donough Street, Unit 1",Bedford-Stuyvesant,3200,3 BD,2 BA,Brooklyn
"672 Franklin Avenue, Unit 2",Crown Heights,3000,3 BD,1 BA,Brooklyn
"222 17th Street, Unit C",Greenwood Heights,2600,2 BD,1 BA,Brooklyn
"175 Skillman Avenue, Unit 2R",Williamsburg,3800,1 BD,1 BA,Brooklyn
"381 Atlantic Avenue, Unit 2",Boerum Hill,4000,2 BD,1 BA,Brooklyn
"1065 East 84th Street, Unit 2",Canarsie,2050,2 BD,1 BA,Brooklyn
"34 Berry Street, Unit 5H",Williamsburg,5200,2 BD,2 BA,Brooklyn
"1278 Halsey Street, Unit 1LQ",Bushwick,2507,3 BD,1 BA,Brooklyn
"1278 Halsey, Unit 1LQ",Bushwick,2507,3 BD,1 BA,Brooklyn
"22 Caton Place, Unit 2K",Windsor Terrace,2750,1 BD,1 BA,Brooklyn
"13 4th Street, Unit 1",Carroll Gardens,5000,3 BD,2 BA,Brooklyn
"181 Front Street, Unit 8B",DUMBO,5540,2 BD,2 BA,Brooklyn
"60 South Oxford Street, Unit 1B",Fort Greene,3800,1 BD,1 BA,Brooklyn
"181 Front Street, Unit 11A",DUMBO,4964,1 BD,1 BA,Brooklyn
"200 Atlantic Avenue, Unit 4E",Cobble Hill,3204,1 BD,1 BA,Brooklyn
181 Front Street,DUMBO,8840,3 BD,2 BA,Brooklyn
"343 Gold Street, Unit 3010",Downtown Brooklyn,3734,1 BD,1 BA,Brooklyn
"292 Bedford Avenue, Unit 2A",Williamsburg,2700,Studio,1 BA,Brooklyn
"60 Water Street, Unit 628",DUMBO,6137,2 BD,2 BA,Brooklyn
"360 Ocean Parkway, Unit 5B",Kensington,2400,2 BD,1 BA,Brooklyn
"60 Water Street, Unit 319",DUMBO,3295,Studio,1 BA,Brooklyn
"214 Duffield Street, Unit 45N",Downtown Brooklyn,3200,Studio,1 BA,Brooklyn
67 North 7th Street,Williamsburg,4500,3 BD,1 BA,Brooklyn
885 Lincoln Place,Crown Heights,8000,5 BD,5 BA,Brooklyn
"22 Caton Place, Unit 2D",Windsor Terrace,5271,3 BD,2 BA,Brooklyn
"100 Willoughby Street, Unit 14S",Downtown Brooklyn,4980,2 BD,2 BA,Brooklyn
"100 Willoughby Street, Unit 15M",Downtown Brooklyn,6515,3 BD,2 BA,Brooklyn
"100 Willoughby Street, Unit 4G",Downtown Brooklyn,3255,Studio,1 BA,Brooklyn
"310 Clarkson Avenue, Unit 220",Flatbush,3150,2 BD,1 BA,Brooklyn
"323 2nd Street, Unit 3L",Central Slope,3300,2 BD,1 BA,Brooklyn
"112 East 96th Street, Unit 1F",Brownsville,1850,2 BD,1 BA,Brooklyn
"331 Kosciuszko Street, Unit 3R",Bedford-Stuyvesant,2250,2 BD,1 BA,Brooklyn
"99 Havemeyer Street, Unit PHB",Williamsburg,4800,2 BD,1.5 BA,Brooklyn
"75 Livingston Street, Unit 2A",Brooklyn Heights,5000,2 BD,1 BA,Brooklyn
"3909 13th Avenue, Unit 3B",Borough Park,2900,2 BD,2 BA,Brooklyn
"181 Front Street, Unit 8B",DUMBO,5540,2 BD,2 BA,Brooklyn
"60 South Oxford Street, Unit 1B",Fort Greene,3800,1 BD,1 BA,Brooklyn
"181 Front Street, Unit 11A",DUMBO,4964,1 BD,1 BA,Brooklyn
"200 Atlantic Avenue, Unit 4E",Cobble Hill,3204,1 BD,1 BA,Brooklyn
181 Front Street,DUMBO,8840,3 BD,2 BA,Brooklyn
"343 Gold Street, Unit 3010",Downtown Brooklyn,3734,1 BD,1 BA,Brooklyn
"292 Bedford Avenue, Unit 2A",Williamsburg,2700,Studio,1 BA,Brooklyn
"60 Water Street, Unit 628",DUMBO,6137,2 BD,2 BA,Brooklyn
"360 Ocean Parkway, Unit 5B",Kensington,2400,2 BD,1 BA,Brooklyn
"60 Water Street, Unit 319",DUMBO,3295,Studio,1 BA,Brooklyn
"214 Duffield Street, Unit 45N",Downtown Brooklyn,3200,Studio,1 BA,Brooklyn
67 North 7th Street,Williamsburg,4500,3 BD,1 BA,Brooklyn
885 Lincoln Place,Crown Heights,8000,5 BD,5 BA,Brooklyn
"22 Caton Place, Unit 2D",Windsor Terrace,5271,3 BD,2 BA,Brooklyn
"100 Willoughby Street, Unit 14S",Downtown Brooklyn,4980,2 BD,2 BA,Brooklyn
"100 Willoughby Street, Unit 15M",Downtown Brooklyn,6515,3 BD,2 BA,Brooklyn
"100 Willoughby Street, Unit 4G",Downtown Brooklyn,3255,Studio,1 BA,Brooklyn
"310 Clarkson Avenue, Unit 220",Flatbush,3150,2 BD,1 BA,Brooklyn
"323 2nd Street, Unit 3L",Central Slope,3300,2 BD,1 BA,Brooklyn
"112 East 96th Street, Unit 1F",Brownsville,1850,2 BD,1 BA,Brooklyn
"331 Kosciuszko Street, Unit 3R",Bedford-Stuyvesant,2250,2 BD,1 BA,Brooklyn
"99 Havemeyer Street, Unit PHB",Williamsburg,4800,2 BD,1.5 BA,Brooklyn
"75 Livingston Street, Unit 2A",Brooklyn Heights,5000,2 BD,1 BA,Brooklyn
"3909 13th Avenue, Unit 3B",Borough Park,2900,2 BD,2 BA,Brooklyn
"1020 Park Place, Unit 3F",Crown Heights,2500,2 BD,1 BA,Brooklyn
"1801 Dorchester Road, Unit 2E",Ditmas Park,4400,3 BD,2 BA,Brooklyn
209 Malcolm X Boulevard,Bedford-Stuyvesant,1250,Studio,1 BA,Brooklyn
"1 Hanson Place, Unit 9M",Fort Greene,6495,2 BD,2 BA,Brooklyn
"132 8th Street, Unit 2",Gowanus,2400,1 BD,1 BA,Brooklyn
"1255 Bushwick Avenue, Unit 6B",Bushwick,2450,1 BD,1 BA,Brooklyn
"684-b Myrtle Avenue, Unit 4F",Clinton Hill,2300,2 BD,1 BA,Brooklyn
"382 Eastern Parkway, Unit 5F",Crown Heights,2895,1 BD,1 BA,Brooklyn
"333 Atlantic Avenue, Unit 2B",Boerum Hill,4250,2 BD,1 BA,Brooklyn
"700 Lafayette Avenue, Unit 1",Bedford-Stuyvesant,2600,2 BD,2 BA,Brooklyn
"671 Decatur Street, Unit 1L",Bedford-Stuyvesant,2350,3 BD,1 BA,Brooklyn
"43 Lexington Avenue, Unit 3",Clinton Hill,2800,2 BD,1 BA,Brooklyn
526 Carlton Avenue,Prospect Heights,15000,5 BD,3 BA,Brooklyn
1266 Hancock Street,Bushwick,3200,2 BD,1.5 BA,Brooklyn
"759 Bergen Street, Unit 3",Crown Heights,3600,3 BD,1 BA,Brooklyn
"410 Ave X, Unit 5B",South Marlboro,1870,1 BD,1 BA,Brooklyn
"588 10th, Unit 3",South Slope,3500,3 BD,1 BA,Brooklyn
"588 10th Street, Unit 3",South Slope,3500,3 BD,1 BA,Brooklyn
"2 North 6th Place, Unit 6S",Williamsburg,3958,1 BD,1 BA,Brooklyn
"2 North 6th Place, Unit 1G",Williamsburg,8485,3 BD,3 BA,Brooklyn
"849 East 14th Street, Unit 2",Midwood,3100,3 BD,2 BA,Brooklyn
"45 Hoyt Street, Unit 9M",Downtown Brooklyn,2980,Studio,1 BA,Brooklyn
"45 Hoyt Street, Unit 12E",Downtown Brooklyn,5955,2 BD,2 BA,Brooklyn
"2790 Bragg Street, Unit 401",Sheepshead Bay,1870,1 BD,1 BA,Brooklyn
"1020 Park Place, Unit 3F",Crown Heights,2500,2 BD,1 BA,Brooklyn
"1801 Dorchester Road, Unit 2E",Ditmas Park,4400,3 BD,2 BA,Brooklyn
209 Malcolm X Boulevard,Bedford-Stuyvesant,1250,Studio,1 BA,Brooklyn
"1 Hanson Place, Unit 9M",Fort Greene,6495,2 BD,2 BA,Brooklyn
"132 8th Street, Unit 2",Gowanus,2400,1 BD,1 BA,Brooklyn
"1255 Bushwick Avenue, Unit 6B",Bushwick,2450,1 BD,1 BA,Brooklyn
"684-b Myrtle Avenue, Unit 4F",Clinton Hill,2300,2 BD,1 BA,Brooklyn
"382 Eastern Parkway, Unit 5F",Crown Heights,2895,1 BD,1 BA,Brooklyn
"333 Atlantic Avenue, Unit 2B",Boerum Hill,4250,2 BD,1 BA,Brooklyn
"700 Lafayette Avenue, Unit 1",Bedford-Stuyvesant,2600,2 BD,2 BA,Brooklyn
"671 Decatur Street, Unit 1L",Bedford-Stuyvesant,2350,3 BD,1 BA,Brooklyn
"43 Lexington Avenue, Unit 3",Clinton Hill,2800,2 BD,1 BA,Brooklyn
526 Carlton Avenue,Prospect Heights,15000,5 BD,3 BA,Brooklyn
1266 Hancock Street,Bushwick,3200,2 BD,1.5 BA,Brooklyn
"759 Bergen Street, Unit 3",Crown Heights,3600,3 BD,1 BA,Brooklyn
"410 Ave X, Unit 5B",South Marlboro,1870,1 BD,1 BA,Brooklyn
"588 10th, Unit 3",South Slope,3500,3 BD,1 BA,Brooklyn
"588 10th Street, Unit 3",South Slope,3500,3 BD,1 BA,Brooklyn
"2 North 6th Place, Unit 6S",Williamsburg,3958,1 BD,1 BA,Brooklyn
"2 North 6th Place, Unit 1G",Williamsburg,8485,3 BD,3 BA,Brooklyn
"849 East 14th Street, Unit 2",Midwood,3100,3 BD,2 BA,Brooklyn
"45 Hoyt Street, Unit 9M",Downtown Brooklyn,2980,Studio,1 BA,Brooklyn
"45 Hoyt Street, Unit 12E",Downtown Brooklyn,5955,2 BD,2 BA,Brooklyn
"2790 Bragg Street, Unit 401",Sheepshead Bay,1870,1 BD,1 BA,Brooklyn
1640 Ocean Parkway,Sheepshead Bay,1842,1 BD,1 BA,Brooklyn
"111 Lawrence Street, Unit 5L",Downtown Brooklyn,4174,1 BD,1 BA,Brooklyn
"181 Front Street, Unit 10B",DUMBO,7648,3 BD,2 BA,Brooklyn
"2032 71st Street, Unit 2",Bensonhurst,2000,3 BD,1 BA,Brooklyn
"154 Bay 50 Street, Unit 1",Gravesend,2700,3 BD,1.5 BA,Brooklyn
"522 79th Street, Unit 3",Bay Ridge,2650,3 BD,1 BA,Brooklyn
"181 Front Street, Unit 4A",DUMBO,6438,2 BD,2 BA,Brooklyn
"95 Linden Boulevard, Unit 11A",Flatbush,2077,1 BD,1 BA,Brooklyn
"25 Washington Street, Unit 5B",DUMBO,4650,2 BD,1 BA,Brooklyn
"1159 President Street, Unit 1C",Crown Heights,2262,2 BD,1 BA,Brooklyn
"777 St Marks Avenue, Unit 5K",Crown Heights,2169,1 BD,1 BA,Brooklyn
805 St Marks Avenue,Crown Heights,1685,Studio,1 BA,Brooklyn
805 St Marks Avenue,Crown Heights,2215,1 BD,1 BA,Brooklyn
"146 Pierrepont Street, Unit PHC",Brooklyn Heights,11072,2 BD,2 BA,Brooklyn
"146 Pierrepont Street, Unit PHC",Brooklyn Heights,11072,2 BD,2 BA,Brooklyn
"181 Front Street, Unit 2C",DUMBO,5292,2 BD,2 BA,Brooklyn
"343 Gold Street, Unit 3605",Downtown Brooklyn,4584,1 BD,1 BA,Brooklyn
"61 Richardson Street, Unit 1H",Williamsburg,2975,Studio,1 BA,Brooklyn
"100 Pioneer Street, Unit 2",Red Hook,2900,2 BD,1 BA,Brooklyn
"100 Pioneer, Unit 2",Red Hook,2900,2 BD,1 BA,Brooklyn
"264 Webster Avenue, Unit 207",Kensington,2600,1 BD,1 BA,Brooklyn
"219 5th Avenue, Unit 2R",North Slope,3050,2 BD,1 BA,Brooklyn
"264 Webster Avenue, Unit 401",Kensington,2850,1 BD,1 BA,Brooklyn
"264 Webster Avenue, Unit 201",Kensington,2700,1 BD,1 BA,Brooklyn
"71 Sutton Street, Unit 2",Greenpoint,3800,3 BD,2 BA,Brooklyn
"164 Kent Avenue, Unit 30P",Williamsburg,7500,2 BD,2 BA,Brooklyn
"264 Webster Avenue, Unit 101",Kensington,2975,1 BD,1 BA,Brooklyn
544 State Street,Boerum Hill,4300,2 BD,1.5 BA,Brooklyn
"402 Decatur Street, Unit 1",Bedford-Stuyvesant,2300,1 BD,1 BA,Brooklyn
"212 North 9th Street, Unit PHB",Williamsburg,6300,2 BD,2 BA,Brooklyn
"849 45th Street, Unit 2",Sunset Park,2400,3 BD,1 BA,Brooklyn
"774 Grand Street, Unit 4G",East Williamsburg,3345,1 BD,1 BA,Brooklyn
"1314 Ocean Parkway, Unit 4D",Ocean Parkway,1750,1 BD,1 BA,Brooklyn
"111 Lawrence Street, Unit 50B",Downtown Brooklyn,2830,Studio,1 BA,Brooklyn
"202 Macon Street, Unit 2F",Bedford-Stuyvesant,2950,2 BD,1 BA,Brooklyn
127 Butler Street,Boerum Hill,3000,1 BD,1 BA,Brooklyn
"146 Pierrepont Street, Unit 14A",Brooklyn Heights,14000,3 BD,2 BA,Brooklyn
"146 Pierrepont Street, Unit 14A",Brooklyn Heights,14000,3 BD,2 BA,Brooklyn
"146 Pierrepont Street, Unit 17D",Brooklyn Heights,11139,3 BD,3 BA,Brooklyn
"146 Pierrepont Street, Unit 17D",Brooklyn Heights,11139,3 BD,3 BA,Brooklyn
"247 North 7th Street, Unit 1209",Williamsburg,3508,1 BD,1 BA,Brooklyn
"247 North 7th Street, Unit 2204",Williamsburg,2853,Studio,1 BA,Brooklyn
"105 Pilling Street, Unit 2A",Bushwick,2649,3 BD,2 BA,Brooklyn
"333 Schermerhorn Street, Unit 22E",Downtown Brooklyn,3450,1 BD,1 BA,Brooklyn
"354 Franklin, Unit 2L",Clinton Hill,3275,2 BD,2 BA,Brooklyn
"1673 Nostrand Avenue, Unit 3F",Flatbush,1895,2 BD,1 BA,Brooklyn
"807 Quincy Street, Unit 3",Bedford-Stuyvesant,2975,3 BD,1 BA,Brooklyn
"807 Quincy Street, Unit 2",Bedford-Stuyvesant,2975,3 BD,1 BA,Brooklyn
"181 Front Street, Unit 5C",DUMBO,6788,3 BD,2 BA,Brooklyn
"807 Quincy Street, Unit 1R",Bedford-Stuyvesant,2275,1 BD,1 BA,Brooklyn
"86 Fleet Place, Unit 10B",Downtown Brooklyn,2705,Studio,1 BA,Brooklyn
"181 Front Street, Unit 7A",DUMBO,5684,2 BD,2 BA,Brooklyn
"675 Lennox Road, Unit 1",East Flatbush,2400,4 BD,2 BA,Brooklyn
"264 Webster Avenue, Unit 205",Kensington,1800,Studio,1 BA,Brooklyn
"847 East 19th Street, Unit 3A",Midwood,2495,3 BD,1 BA,Brooklyn
"1501 Voorhies Avenue, Unit 10K",Sheepshead Bay,3490,2 BD,2 BA,Brooklyn
"120 East 19th Street, Unit 4B",Prospect Park South,2575,2 BD,1 BA,Brooklyn
"66 Rockwell Place, Unit 6627B",Fort Greene,3840,1 BD,1 BA,Brooklyn
"2 North 6th Street, Unit 15D",Williamsburg,6696,2 BD,2 BA,Brooklyn
"2 North 6th Street, Unit 8G",Williamsburg,8323,3 BD,2 BA,Brooklyn
"2 North 6th Street, Unit 11F",Williamsburg,3933,1 BD,1 BA,Brooklyn
"221 Van Brunt Street, Unit 3B",Red Hook,1950,1 BD,1 BA,Brooklyn
"222 Hicks Street, Unit 5C",Brooklyn Heights,1895,Studio,1 BA,Brooklyn
"626 Flatbush Avenue, Unit 23B",Prospect Lefferts Gardens,4983,3 BD,2 BA,Brooklyn
"626 Flatbush Avenue, Unit 4A",Prospect Lefferts Gardens,2846,1 BD,1 BA,Brooklyn
"66 Rockwell Place, Unit 6634D",Fort Greene,2856,Studio,1 BA,Brooklyn
"214 Duffield Street, Unit 50B",Downtown Brooklyn,4125,1 BD,1 BA,Brooklyn
"100 Willoughby Street, Unit 21W",Downtown Brooklyn,3325,1 BD,1 BA,Brooklyn
"74 Greenpoint Avenue, Unit D2",Greenpoint,2500,1 BD,1 BA,Brooklyn
"607 Flatbush Avenue, Unit 2A",Prospect Lefferts Gardens,3700,3 BD,1 BA,Brooklyn
"345 St Johns, Unit 4P",Prospect Heights,2550,2 BD,1 BA,Brooklyn
"50 Greenpoint Avenue, Unit PHB",Greenpoint,5795,2 BD,2 BA,Brooklyn
"113 Greenpoint Avenue, Unit D2",Greenpoint,4200,3 BD,2 BA,Brooklyn
"74 Greenpoint Avenue, Unit A4",Greenpoint,2000,Studio,1 BA,Brooklyn
"1 Hanson Place, Unit 19A",Fort Greene,3600,1 BD,1.5 BA,Brooklyn
"518 Bainbridge Street, Unit 2A",Bedford-Stuyvesant,1800,1 BD,1 BA,Brooklyn
"180 Nassau Street, Unit 8K",Downtown Brooklyn,4500,2 BD,2 BA,Brooklyn
"141 Summit Street, Unit 1",Carroll Gardens,4750,2 BD,1 BA,Brooklyn
26 Halsey Street,Bedford-Stuyvesant,2250,1 BD,1 BA,Brooklyn
"52 Clark Street, Unit 3DEF",Brooklyn Heights,6050,3 BD,3 BA,Brooklyn
"100 Atlantic Avenue, Unit 3P",Cobble Hill,3200,1 BD,1 BA,Brooklyn
"2217 Caton Avenue, Unit 4D",Flatbush,2100,1 BD,1 BA,Brooklyn
"53 Broadway, Unit 704",Williamsburg,2840,Studio,1 BA,Brooklyn
"53 Broadway, Unit 703",Williamsburg,2840,Studio,1 BA,Brooklyn
"1704 Ocean Avenue, Unit 2J",Midwood,2215,2 BD,1 BA,Brooklyn
"420 Kent Avenue, Unit 6172A",Williamsburg,4999,2 BD,1 BA,Brooklyn
537 40th Street,Sunset Park,3480,3 BD,2 BA,Brooklyn
"245 Bergen Street, Unit 2",Boerum Hill,7700,3 BD,1 BA,Brooklyn
"395 Leonard Street, Unit 716",Williamsburg,3600,1 BD,1 BA,Brooklyn
"250 Ashland Place, Unit 17M",Fort Greene,2857,Studio,1 BA,Brooklyn
"1 Blue, Unit 401",Greenpoint,3351,1 BD,1 BA,Brooklyn
"395 Leonard Street, Unit 501",Williamsburg,4450,2 BD,1 BA,Brooklyn
"645 Belmont Avenue, Unit 2",East New York,2205,3 BD,1 BA,Brooklyn
"645 Belmont Avenue, Unit 2",East New York,2205,3 BD,1 BA,Brooklyn
"9715 3rd Avenue, Unit 2F",Bay Ridge,1500,1 BD,1 BA,Brooklyn
"748 Lafayette Avenue, Unit 1",Bedford-Stuyvesant,2300,1 BD,1 BA,Brooklyn
"51 Lincoln Place, Unit PH",North Slope,9000,3 BD,2.5 BA,Brooklyn
"216 6th Avenue, Unit 4C",North Slope,2500,1 BD,1 BA,Brooklyn
"180 Montague Street, Unit 12G",Brooklyn Heights,5561,2 BD,2 BA,Brooklyn
"34 Berry Street, Unit 3Y",Williamsburg,3675,1 BD,1 BA,Brooklyn
"34 Berry Street, Unit 2B",Williamsburg,3695,1 BD,1 BA,Brooklyn
"34 Berry Street, Unit 2L",Williamsburg,3625,1 BD,1 BA,Brooklyn
"34 Berry Street, Unit 4B",Williamsburg,3595,1 BD,1 BA,Brooklyn
"34 Berry Street, Unit 2G",Williamsburg,3595,1 BD,1 BA,Brooklyn
"3400 Snyder Avenue, Unit 7",East Flatbush,1900,1 BD,1 BA,Brooklyn
"363 Hancock Street, Unit 3",Bedford-Stuyvesant,2499,2 BD,1 BA,Brooklyn
"185 Prospect Park West, Unit 2R",South Slope,3686,2 BD,1 BA,Brooklyn
"325 Kent Avenue, Unit 453",Williamsburg,3166,Studio,1 BA,Brooklyn
"325 Kent Avenue, Unit 1164",Williamsburg,5931,2 BD,2 BA,Brooklyn
"130 Martense Street, Unit 6A",Flatbush,2520,2 BD,1 BA,Brooklyn
"461 Dean Street, Unit 6H",Prospect Heights,2981,Studio,1 BA,Brooklyn
"181 Prospect Park West, Unit 12",South Slope,2215,Studio,1 BA,Brooklyn
"343 Gold Street, Unit 3008",Downtown Brooklyn,5471,2 BD,2 BA,Brooklyn
"910 Union Street, Unit 2C",North Slope,3522,1 BD,1 BA,Brooklyn
"301 Oriental Boulevard, Unit 3",Manhattan Beach,2100,2 BD,1 BA,Brooklyn
"1234 Pacific Street, Unit A1",Crown Heights,2200,2 BD,1 BA,Brooklyn
"479 Prospect Place, Unit 4",Crown Heights,3300,3 BD,2 BA,Brooklyn
"479 Prospect Place, Unit 3",Crown Heights,3300,3 BD,1 BA,Brooklyn
"918 Ditmas Avenue, Unit 2",Kensington,4300,5 BD,2 BA,Brooklyn
"214 North 11th Street, Unit 5C",Williamsburg,4400,2 BD,2 BA,Brooklyn
"267 71st Street, Unit 2",Bay Ridge,2100,2 BD,1 BA,Brooklyn
"374 South 4th Street, Unit 303",East Williamsburg,2650,1 BD,1 BA,Brooklyn
"586 Bay Ridge Parkway, Unit 2",Bay Ridge,1600,Studio,1 BA,Brooklyn
"649 Hawthorne Street, Unit 1",Wingate,2600,3 BD,1 BA,Brooklyn
"158 South Oxford Street, Unit 2",Fort Greene,12500,6 BD,4 BA,Brooklyn
"290 Harman Street, Unit 2LF",Bushwick,2291,2 BD,1 BA,Brooklyn
"324 Melrose Street, Unit 3A",Bushwick,2520,2 BD,1 BA,Brooklyn
"2 North 6th Place, Unit 15D",Williamsburg,6138,2 BD,2 BA,Brooklyn
"2 North 6th Place, Unit 11F",Williamsburg,3933,1 BD,1 BA,Brooklyn
834 Herkimer Street,Bedford-Stuyvesant,2500,13 BD,7 BA,Brooklyn
"9026 Fort Hamilton Parkway, Unit 2",Bay Ridge,2600,2 BD,1 BA,Brooklyn
"692 Madison Street, Unit 2",Bedford-Stuyvesant,3000,2 BD,1 BA,Brooklyn
761 Westminster Road,West Midwood,3000,3 BD,1 BA,Brooklyn
"55 Berry Street, Unit 6C",Williamsburg,6500,2 BD,2 BA,Brooklyn
"326-a President Street, Unit 1",Carroll Gardens,10500,4 BD,2.5 BA,Brooklyn
"356 President Street, Unit 1",Carroll Gardens,8500,3 BD,2 BA,Brooklyn
"201 Clinton Avenue, Unit 10C",Clinton Hill,3500,2 BD,1 BA,Brooklyn
"155 Bay 32nd Street, Unit 1",Gravesend,2080,2 BD,1 BA,Brooklyn
"10 Montieth Street, Unit 2722",Bushwick,2442,Studio,1 BA,Brooklyn
