"140 West 23rd Street, Apt. 5D",2950,Studio / 1 Bath / 540 Sq. Ft. / Condo,Chelsea/Hudson Yards
26 East 126th Street,12000,3 Floors / Single Family Townhouse,Harlem
"558 West 162nd Street, Apt. 2",2850,1 Bed / 1 Bath / 900 Sq. Ft. / Rental,Washington Heights
"150 East 44th Street, Apt. 10B",3975,1 Bed / 1 Bath / Rental,Midtown East
"28 Perry Street, Apt. BW",3900,1 Bed / 1 Bath / Condo,West Village
"21 East 12th Street, Apt. 15A",13500,"2 Beds / 2 Baths / 1,478 Sq. Ft. / Condo",Greenwich Village
"152 Ninth Avenue, Apt. 1",10750,3 Units / 4 Floors / Multi-Family Townhouse,Chelsea/Hudson Yards
"381 Bleecker Street, Apt. 2",7250,5 Floors / Multi-Family Townhouse,West Village
"210 West 77th Street, Apt. 17",27950,"4 Beds / 4 Baths / 2,947 Sq. Ft. / Condo",Upper West Side
"285 West 110th Street, Apt. 6D",8995,"3 Beds / 2 Baths / 1,608 Sq. Ft. / Condo",Upper West Side
"91 Franklin Street, Apt. 4 FL",6000,"1 Bed / 1 Bath / 1,700 Sq. Ft. / Co-op",Tribeca
"160 West 66th Street, Apt. 19J",5950,"1 Bed / 1 Bath / 1,086 Sq. Ft. / Condo",Upper West Side
"343 East 76th Street, Apt. 2A",2395,Studio / 1 Bath / Rental,Upper East Side
"15 Broad Street, Apt. 1610",11500,"3 Beds / 3 Baths / 2,220 Sq. Ft. / Condo",Financial District
"50 Madison Avenue, Apt. 2",20000,"3 Beds / 3 Baths / 2,646 Sq. Ft. / Condo",Flatiron
"438 East 12th Street, Apt. PHH",20000,"3 Beds / 2 Baths / 1,987 Sq. Ft. / Condo",East Village
"233 East 21st Street, Apt. 23",4495,3 Beds / 1 Bath / Rental,Gramercy
"92 Perry Street, Apt. 19",3900,1 Bed / 1 Bath / 418 Sq. Ft. / Condo,West Village
"141 East 88th Street, Apt. 5G",17000,"3 Beds / 2 Baths / 2,090 Sq. Ft. / Condo",Carnegie Hill
"457 West 57th Street, Apt. 202",3800,1 Bed / 1 Bath / 800 Sq. Ft. / Co-op,Midtown West
"333 East 91st Street, Apt. 33AB",24995,4 Beds / 4 Baths / Condo/Co-op,Upper East Side
"410 West 24th Street, Apt. 3E",3000,Studio / 1 Bath / Co-op,Chelsea/Hudson Yards
"31 West 82nd Street, Apt. PARLOR",8500,3 Units / 5 Floors / Multi-Family Townhouse,Upper West Side
"15 Charles Street, Apt. 14E",5000,1 Bed / 1 Bath / Condo,Greenwich Village
"35 East 68th Street, Apt. 3/4",18000,"8 Units / 5 Floors / 2,715 Sq. Ft. / Multi-Family Townhouse",Upper East Side
"435 East 76th Street, Apt. 1D",7995,"2 Beds / 3 Baths / 2,040 Sq. Ft. / Condo",Upper East Side
"223 East 80th Street, Apt. PH",11995,"2 Beds / 3 Baths / 1,720 Sq. Ft. / Rental",Upper East Side
