5312 8th Avenue,3350000,"3 Units / 3 Floors / 3,588 Sq. Ft. / Multi-Family Townhouse",Sunset Park
"360 Furman Street, Apt. LOFT1204",2350000,2 Beds / 2 Baths / Condo,Brooklyn Heights
926 Lafayette Avenue,1895000,3 Units / 3 Floors / House,Bedford-Stuyvesant
"9 Garden Place, Apt. 2",3495000,"4 Beds / 3 Baths / 2,600 Sq. Ft. / Co-op",Brooklyn Heights
"9 Prospect Park West, Apt. 4A",2595000,3 Beds / 2 Baths / Co-op,Park Slope
1459 Dean Street,2095000,"2 Units / 3 Floors / 3,000 Sq. Ft. / Multi-Family Townhouse",Crown Heights
60 Montgomery Place,5595000,"2 Units / 4 Floors / 6,500 Sq. Ft. / Multi-Family Townhouse",Park Slope
185 Van Buren Street,1599000,"3 Units / 4 Floors / 3,512 Sq. Ft. / Multi-Family Townhouse",Bedford-Stuyvesant
"5 Stratford Road, Apt. 6",735000,3 Beds / 1 Bath / Co-op,Prospect Park South
"231 15th Street, Apt. 1B",1450000,"2 Beds / 2 Baths / 1,210 Sq. Ft. / Condo",Park Slope
426 76th Street,1495000,2 Floors / Single Family Townhouse,Bay Ridge
98 Gates Avenue,2690000,"2 Units / 4 Floors / 2,960 Sq. Ft. / Multi-Family Townhouse",Clinton Hill
"4907 4th Avenue, Apt. 2B",525000,1 Bed / 1 Bath / 629 Sq. Ft. / Condo,Sunset Park
118 Mac Donough Street,2295000,"2 Units / 4 Floors / 3,280 Sq. Ft. / Multi-Family Townhouse",Bedford-Stuyvesant
"96 Schermerhorn Street, Apt. PHK",895000,1.5 Beds / 1 Bath / 900 Sq. Ft. / Co-op,Brooklyn Heights
"4907 4th Avenue, Apt. 2D",525000,1 Bed / 1 Bath / 625 Sq. Ft. / Condo,Sunset Park
"4907 4th Avenue, Apt. 3B",540000,1 Bed / 1 Bath / 629 Sq. Ft. / Condo,Sunset Park
"4907 4th Avenue, Apt. 7B",450000,Studio / 1 Bath / 435 Sq. Ft. / Condo,Sunset Park
"165 Clinton Avenue, Apt. 6D",520000,1 Bed / 1 Bath / Co-op,Clinton Hill
1592 Pacific Street,1995000,"2 Units / 4 Floors / 3,960 Sq. Ft. / Multi-Family Townhouse",Crown Heights
"631 East 18th Street, Apt. 4A",580000,1 Bed / 1 Bath / Condo,Ditmas Park
1769 Rockaway Pkwy,780000,"3 Beds / 1 Bath / 1,408 Sq. Ft. / House",empty neighborhood
188 Van Buren Street,2199000,"2 Units / 4 Floors / 3,600 Sq. Ft. / Multi-Family Townhouse",Bedford-Stuyvesant
462 Sackett Street,2280000,"2 Units / 3 Floors / 1,800 Sq. Ft. / Multi-Family Townhouse",Carroll Gardens
631 New York Avenue,1595000,2 Units / 2 Floors / Multi-Family Townhouse,Flatbush
"85 Livingston Street, Apt. 17L",560000,Studio / 1 Bath / Co-op,Downtown Brooklyn
405 Union Street,3500000,"2 Units / 4 Floors / 3,094 Sq. Ft. / Multi-Family Townhouse",Carroll Gardens
"360 Furman Street, Apt. 1140",1279000,"1 Bed / 1 Bath / 1,373 Sq. Ft. / Condo",Brooklyn Heights
"360 Furman Street, Apt. 1139/1140",3054000,"5 Beds / 4 Baths / 2,767 Sq. Ft. / Condo",Brooklyn Heights
62 Fort Greene Place,3300000,4 Units / 4 Floors / Multi-Family Townhouse,Fort Greene
