,Address,Neighborhood,Price,Beds,Baths,Boro,Agency
1783,"305-315 East 86th Street, Unit 2TW",Upper East Side,5225,1 BD,2 BA,Manhattan,Compass
1784,"59 Thompson Street, Unit 8A",SoHo,3850,1 BD,1 BA,Manhattan,Compass
1785,"59 Thompson Street, Unit 8A",SoHo,3529,1 BD,1 BA,Manhattan,Compass
1786,"44 West 88th Street, Unit 2",Upper West Side,2895,1 BD,1 BA,Manhattan,Compass
1787,"622 West 147th Street, Unit A",Hamilton Heights,5500,3 BD,2.5 BA,Manhattan,Compass
1788,"45 West 60th Street, Unit 25C",Upper West Side,3795,1 BD,1 BA,Manhattan,Compass
1789,"200 West 11th Street, Unit PH",West Village,25000,3 BD,3 BA,Manhattan,Compass
1790,"250 Mulberry Street, Unit 3",NoLita,3300,1 BD,1 BA,Manhattan,Compass
1791,"250 Mulberry Street, Unit 3",NoLita,3300,1 BD,1 BA,Manhattan,Compass
1792,"200 West 11th Street, Unit 2",West Village,12225,2 BD,2 BA,Manhattan,Compass
1793,"400 West 113th Street, Unit 1223",Morningside Heights,4495,1 BD,1 BA,Manhattan,Compass
1794,"261 Hudson Street, Unit 3M",SoHo,4650,Studio,1 BA,Manhattan,Compass
1795,"261 Hudson Street, Unit 5V",SoHo,6278,1 BD,1 BA,Manhattan,Compass
1796,"515 West 47th Street, Unit 3C",Hell's Kitchen,3750,2 BD,1 BA,Manhattan,Compass
1797,"511 East 12th Street, Unit 5F",East Village,3000,1 BD,1 BA,Manhattan,Compass
1798,"511 East 12th Street, Unit 5F",East Village,3000,1 BD,1 BA,Manhattan,Compass
1799,"550 West 45th Street, Unit 2913",Hell's Kitchen,7080,2 BD,2 BA,Manhattan,Compass
1800,"227 Mulberry Street, Unit 2P",NoLita,3495,Studio,1 BA,Manhattan,Compass
1801,"227 Mulberry Street, Unit 2P",NoLita,3495,Studio,1 BA,Manhattan,Compass
1802,"2649 8th Avenue, Unit 5A",Harlem,2200,2 BD,1 BA,Manhattan,Compass
1803,"2649 8th Avenue, Unit 5A",Harlem,2200,2 BD,1 BA,Manhattan,Compass
1804,"40 East 94th Street, Unit 23A",Upper East Side,13000,3 BD,3 BA,Manhattan,Compass
1805,"227 Mulberry Street, Unit 2U",NoLita,3250,Studio,1 BA,Manhattan,Compass
1806,"227 Mulberry Street, Unit 2U",NoLita,3250,Studio,1 BA,Manhattan,Compass
1807,"525 West 28th Street, Unit 153",Chelsea,4715,1 BD,1 BA,Manhattan,Compass
1808,"525 West 28th Street, Unit 1161",Chelsea,4230,1 BD,1 BA,Manhattan,Compass
1809,"525 West 28th Street, Unit 1462",Chelsea,4630,1 BD,1 BA,Manhattan,Compass
1810,"520 East 11th Street, Unit 25",East Village,2490,1 BD,1 BA,Manhattan,Compass
1811,"11 East 1st Street, Unit 1501",East Village,5310,1 BD,1 BA,Manhattan,Compass
1812,"11 East 1st Street, Unit 1204",East Village,5135,1 BD,1 BA,Manhattan,Compass
1813,"11 East 1st Street, Unit 2412",East Village,5960,1 BD,1 BA,Manhattan,Compass
1814,"326 East 120th Street, Unit 2",East Harlem,1900,1 BD,1 BA,Manhattan,Compass
1815,"550 West 45th Street, Unit 1207",Hell's Kitchen,5580,2 BD,2 BA,Manhattan,Compass
1816,"30 West 63rd Street, Unit 3E",Upper West Side,4295,1 BD,1 BA,Manhattan,Compass
1817,"330 West 56th Street, Unit 8H",Hell's Kitchen,3500,1 BD,1 BA,Manhattan,Compass
1818,"2 Bank Street, Unit 20",West Village,4950,2 BD,2 BA,Manhattan,Compass
1819,"400 West 113th Street, Unit 1429",Morningside Heights,5195,1 BD,1 BA,Manhattan,Compass
1820,"505 West 29th Street, Unit 18G",Chelsea,4073,Studio,1 BA,Manhattan,Compass
1821,"505 West 29th Street, Unit 23M",Chelsea,7140,1 BD,1 BA,Manhattan,Compass
1822,"202 6th Avenue, Unit 5G",SoHo,2775,Studio,1 BA,Manhattan,Compass
1823,"25 Fort Washington Avenue, Unit 4B",Washington Heights,3050,3 BD,2 BA,Manhattan,Compass
1824,"512 West 158th Street, Unit 51",Washington Heights,3200,3 BD,1 BA,Manhattan,Compass
1825,"10 Barclay Street, Unit 38C",TriBeCa,8595,2 BD,2.5 BA,Manhattan,Compass
1826,"45 West 60th Street, Unit 10G",Upper West Side,3895,1 BD,1 BA,Manhattan,Compass
1827,"45 West 60th Street, Unit 12B",Upper West Side,4395,1 BD,1 BA,Manhattan,Compass
1828,"1930 Broadway, Unit 9D",Upper West Side,8295,2 BD,2 BA,Manhattan,Compass
1829,"300 East 56th Street, Unit 2A",Midtown East,6695,2 BD,2.5 BA,Manhattan,Compass
1830,"330 West 39th Street, Unit 23F",Hudson Yards,4000,1 BD,1 BA,Manhattan,Compass
1831,"300 East 75th Street, Unit 17H",Upper East Side,4595,1 BD,1 BA,Manhattan,Compass
1832,"1675 York Avenue, Unit 30M",Upper East Side,3995,1 BD,1 BA,Manhattan,Compass
1833,"1755 York Avenue, Unit 26C",Upper East Side,6795,2 BD,2 BA,Manhattan,Compass
1834,"333 East 102nd Street, Unit 406",East Harlem,3510,2 BD,2 BA,Manhattan,Compass
1835,"328 West 44th Street, Unit 26",Hell's Kitchen,2095,1 BD,1 BA,Manhattan,Compass
1836,"168 Elizabeth Street, Unit 5",NoLita,2750,1 BD,1 BA,Manhattan,Compass
1837,"330 West 56th Street, Unit 10P",Hell's Kitchen,3000,1 BD,1 BA,Manhattan,Compass
1838,"305-315 East 86th Street, Unit 7DE",Upper East Side,3988,1 BD,2 BA,Manhattan,Compass
1839,"305-315 East 86th Street, Unit 11BE",Upper East Side,3988,1 BD,1 BA,Manhattan,Compass
1840,"155 West 21st Street, Unit 11B",Chelsea,6550,1 BD,1 BA,Manhattan,Compass
1841,"185 East 85th Street, Unit 36E",Upper East Side,4500,1 BD,1.5 BA,Manhattan,Compass
1842,151-155 East 31st Street,Kips Bay,6420,2 BD,2 BA,Manhattan,Compass
1843,"460 2nd Avenue, Unit 2C",Kips Bay,3035,Studio,1 BA,Manhattan,Compass
1844,"55 Delancey Street, Unit 1F",Lower East Side,2904,2 BD,1 BA,Manhattan,Compass
1845,"80 North Moore Street, Unit 2E",TriBeCa,4395,1 BD,1 BA,Manhattan,Compass
1846,"235 West 56th Street, Unit 12P",Theater District,3250,Studio,1 BA,Manhattan,Compass
1847,"800 5th Avenue, Unit 21F",Upper East Side,18750,2 BD,2.5 BA,Manhattan,Compass
1848,"488 7th Avenue, Unit 7A",Fashion District,3650,2 BD,1 BA,Manhattan,Compass
1849,"488 7th Avenue, Unit 7A",Fashion District,3650,2 BD,1 BA,Manhattan,Compass
1850,"155 West 68th Street, Unit 1907",Upper West Side,3200,Studio,1 BA,Manhattan,Compass
1851,"529 West 48th Street, Unit 20",Hell's Kitchen,2850,2 BD,1 BA,Manhattan,Compass
1852,"529 West 48th Street, Unit 20",Hell's Kitchen,2850,2 BD,1 BA,Manhattan,Compass
1853,"248 East 50th Street, Unit 4F",Midtown East,2025,Studio,1 BA,Manhattan,Compass
1854,"432 East 120th Street, Unit 3E",East Harlem,2250,2 BD,1 BA,Manhattan,Compass
1855,"411 West 35th Street, Unit 7N",Hudson Yards,3705,Studio,1 BA,Manhattan,Compass
1856,"411 West 35th Street, Unit 7S",Hudson Yards,3547,Studio,1 BA,Manhattan,Compass
1857,"411 West 35th Street, Unit 5T",Hudson Yards,4339,1 BD,1 BA,Manhattan,Compass
1858,"411 West 35th Street, Unit 4I",Hudson Yards,4040,1 BD,1 BA,Manhattan,Compass
1859,"1526 St Nicholas Avenue, Unit 42",Washington Heights,2493,3 BD,1 BA,Manhattan,Compass
1860,"400 East 57th Street, Unit 5F",Midtown East,3758,1 BD,1 BA,Manhattan,Compass
1861,"142 East 27th, Unit 3",Kips Bay,1750,1 BD,1 BA,Manhattan,Compass
1862,"142 East 27th Street, Unit 3",Kips Bay,1750,1 BD,1 BA,Manhattan,Compass
1863,"178 Thompson Street, Unit 3D",Greenwich Village,2975,1 BD,1 BA,Manhattan,Compass
1864,"234 East 82nd Street, Unit 1RW",Upper East Side,4295,3 BD,2 BA,Manhattan,Compass
1865,"264 Lexington Avenue, Unit 9BC",Murray Hill,10000,4 BD,2 BA,Manhattan,Compass
1866,"510 East 88th Street, Unit C",Upper East Side,3149,1 BD,1.5 BA,Manhattan,Compass
1867,"57 West 75th Street, Unit 6CD",Upper West Side,7792,3 BD,2 BA,Manhattan,Compass
1868,"685 1st Avenue, Unit 5H",Murray Hill,4247,Studio,1 BA,Manhattan,Compass
1869,"56 West 84th Street, Unit 1F",Upper West Side,2250,Studio,1 BA,Manhattan,Compass
1870,"685 1st Avenue, Unit 9M",Murray Hill,8576,2 BD,2 BA,Manhattan,Compass
1871,"351 West 51st Street, Unit 8",Hell's Kitchen,2395,1 BD,1 BA,Manhattan,Compass
1872,"175 West 93rd Street, Unit 16G",Upper West Side,3800,1 BD,1 BA,Manhattan,Compass
1873,"229 Chrystie Street, Unit 1215",Lower East Side,7895,2 BD,2 BA,Manhattan,Compass
1874,"220 East 65th Street, Unit 22N",Upper East Side,5100,2 BD,2 BA,Manhattan,Compass
1875,"233 West 134th Street, Unit 4A",Harlem,2400,2 BD,1 BA,Manhattan,Compass
1876,"2183 3rd Avenue, Unit 402",East Harlem,2725,1 BD,1 BA,Manhattan,Compass
1877,"141 West 139th Street, Unit C45",Harlem,1650,Studio,1 BA,Manhattan,Compass
1878,"200 Bradhurst Avenue, Unit 35",Harlem,1850,1 BD,1 BA,Manhattan,Compass
1879,"20 West 10th Street, Unit 4FW",Greenwich Village,9250,3 BD,2 BA,Manhattan,Compass
1880,"201 East 87th Street, Unit 9M",Upper East Side,2875,Studio,1 BA,Manhattan,Compass
1881,"1582 1st Avenue, Unit 4D",Upper East Side,2249,Studio,1 BA,Manhattan,Compass
1882,"250 West 105th Street, Unit 6B",Upper West Side,2595,1 BD,1 BA,Manhattan,Compass
1883,"75 Sullivan Street, Unit 3N",SoHo,9584,2 BD,2 BA,Manhattan,Compass
1884,"267 Edgecombe Avenue, Unit 3",Hamilton Heights,1995,1 BD,1 BA,Manhattan,Compass
1885,"58 West 58th Street, Unit 12F",Theater District,3500,Studio,1 BA,Manhattan,Compass
1886,"514 East 88th Street, Unit 3B",Upper East Side,2291,1 BD,1 BA,Manhattan,Compass
1887,"149 West 12th Street, Unit 26",West Village,3300,1 BD,1 BA,Manhattan,Compass
1888,"58 West 84th Street, Unit GF",Upper West Side,2175,Studio,1 BA,Manhattan,Compass
1889,"315 West 33rd Street, Unit 16D",Hudson Yards,3046,Studio,1 BA,Manhattan,Compass
1890,"156 Columbus Avenue, Unit 3N",Upper West Side,4500,3 BD,1 BA,Manhattan,Compass
1891,"100 Riverside Boulevard, Unit 7D",Upper West Side,3600,1 BD,1 BA,Manhattan,Compass
1892,"208 East 83rd Street, Unit 2E",Upper East Side,3995,3 BD,1 BA,Manhattan,Compass
1893,"337 West 14th Street, Unit 33",Chelsea,5050,3 BD,1 BA,Manhattan,Compass
1894,"357 West 116th Street, Unit 4",Harlem,2800,1 BD,1 BA,Manhattan,Compass
1895,"56 West 89th Street, Unit D",Upper West Side,3250,1 BD,1 BA,Manhattan,Compass
1896,"685 1st Avenue, Unit 5P",Murray Hill,7050,2 BD,2 BA,Manhattan,Compass
1897,"217 East 27th Street, Unit 11",Kips Bay,3650,2 BD,1 BA,Manhattan,Compass
1898,"211 East 51st Street, Unit 7D",Midtown East,2980,1 BD,1 BA,Manhattan,Compass
1899,"141 West 139th Street, Unit B47",Harlem,1695,Studio,1 BA,Manhattan,Compass
1900,"685 1st Avenue, Unit 5G",Murray Hill,5361,1 BD,1 BA,Manhattan,Compass
1901,"608 West 148th Street, Unit 2",Hamilton Heights,3600,3 BD,2 BA,Manhattan,Compass
1902,"21 East 12th Street, Unit 6B",Greenwich Village,15500,2 BD,2.5 BA,Manhattan,Compass
1903,"112 West 72nd Street, Unit 10E",Upper West Side,2800,1 BD,1 BA,Manhattan,Compass
1904,"241 Mulberry Street, Unit 18",NoLita,2495,Studio,1 BA,Manhattan,Compass
1905,"242 East 77th Street, Unit 3RE",Upper East Side,2300,1 BD,1 BA,Manhattan,Compass
1906,"229 Columbus Avenue, Unit 3N",Upper West Side,2950,2 BD,1 BA,Manhattan,Compass
1907,"413 West 23rd Street, Unit 5D",Chelsea,3275,Studio,1 BA,Manhattan,Compass
1908,"420 West 42nd Street, Unit 35E",Hudson Yards,3650,1 BD,1 BA,Manhattan,Compass
1909,"143 East 35th Street, Unit 2R",Murray Hill,5700,3 BD,1.5 BA,Manhattan,Compass
1910,"229 Chrystie Street, Unit 908",Lower East Side,3675,Studio,1 BA,Manhattan,Compass
1911,"421 East 72nd Street, Unit 1A",Upper East Side,2050,Studio,1 BA,Manhattan,Compass
1912,"100 East 53rd Street, Unit 42A",Midtown East,16500,2 BD,2.5 BA,Manhattan,Compass
1913,"229 Chrystie Street, Unit 1104",Lower East Side,3935,Studio,1 BA,Manhattan,Compass
1914,"240 East 86th Street, Unit 18F",Upper East Side,3550,Studio,1 BA,Manhattan,Compass
1915,"141 West 139th Street, Unit C31",Harlem,1895,1 BD,1 BA,Manhattan,Compass
1916,"30 Park Place, Unit 56B",TriBeCa,20000,3 BD,3.5 BA,Manhattan,Compass
1917,"325 North End Avenue, Unit 4A",Battery Park City,6918,2 BD,2 BA,Manhattan,Compass
1918,"501 East 73rd Street, Unit 1A",Upper East Side,2695,3 BD,1 BA,Manhattan,Compass
1919,"151 East 20th Street, Unit 2C",Gramercy,2195,Studio,1 BA,Manhattan,Compass
1920,"685 1st Avenue, Unit 5P",Murray Hill,7050,2 BD,2 BA,Manhattan,Compass
1921,"217 East 27th Street, Unit 11",Kips Bay,3650,2 BD,1 BA,Manhattan,Compass
1922,"211 East 51st Street, Unit 7D",Midtown East,2980,1 BD,1 BA,Manhattan,Compass
1923,"141 West 139th Street, Unit B47",Harlem,1695,Studio,1 BA,Manhattan,Compass
1924,"685 1st Avenue, Unit 5G",Murray Hill,5361,1 BD,1 BA,Manhattan,Compass
1925,"608 West 148th Street, Unit 2",Hamilton Heights,3600,3 BD,2 BA,Manhattan,Compass
1926,"21 East 12th Street, Unit 6B",Greenwich Village,15500,2 BD,2.5 BA,Manhattan,Compass
1927,"112 West 72nd Street, Unit 10E",Upper West Side,2800,1 BD,1 BA,Manhattan,Compass
1928,"241 Mulberry Street, Unit 18",NoLita,2495,Studio,1 BA,Manhattan,Compass
1929,"242 East 77th Street, Unit 3RE",Upper East Side,2300,1 BD,1 BA,Manhattan,Compass
1930,"229 Columbus Avenue, Unit 3N",Upper West Side,2950,2 BD,1 BA,Manhattan,Compass
1931,"413 West 23rd Street, Unit 5D",Chelsea,3275,Studio,1 BA,Manhattan,Compass
1932,"420 West 42nd Street, Unit 35E",Hudson Yards,3650,1 BD,1 BA,Manhattan,Compass
1933,"143 East 35th Street, Unit 2R",Murray Hill,5700,3 BD,1.5 BA,Manhattan,Compass
1934,"229 Chrystie Street, Unit 908",Lower East Side,3675,Studio,1 BA,Manhattan,Compass
1935,"421 East 72nd Street, Unit 1A",Upper East Side,2050,Studio,1 BA,Manhattan,Compass
1936,"100 East 53rd Street, Unit 42A",Midtown East,16500,2 BD,2.5 BA,Manhattan,Compass
1937,"229 Chrystie Street, Unit 1104",Lower East Side,3935,Studio,1 BA,Manhattan,Compass
1938,"240 East 86th Street, Unit 18F",Upper East Side,3550,Studio,1 BA,Manhattan,Compass
1939,"141 West 139th Street, Unit C31",Harlem,1895,1 BD,1 BA,Manhattan,Compass
1940,"30 Park Place, Unit 56B",TriBeCa,20000,3 BD,3.5 BA,Manhattan,Compass
1941,"325 North End Avenue, Unit 4A",Battery Park City,6918,2 BD,2 BA,Manhattan,Compass
1942,"501 East 73rd Street, Unit 1A",Upper East Side,2695,3 BD,1 BA,Manhattan,Compass
1943,"151 East 20th Street, Unit 2C",Gramercy,2195,Studio,1 BA,Manhattan,Compass
1944,"501 East 73rd Street, Unit 1A",Upper East Side,2695,3 BD,1 BA,Manhattan,Compass
1945,"518 East 88th Street, Unit 5D",Upper East Side,2475,1 BD,1 BA,Manhattan,Compass
1946,"330 East 38th Street, Unit 9I",Murray Hill,3295,1 BD,1 BA,Manhattan,Compass
1947,"151 East 20th Street, Unit 2C",Gramercy,2195,Studio,1 BA,Manhattan,Compass
1948,"401 2nd Avenue, Unit 9F",Kips Bay,4600,2 BD,1 BA,Manhattan,Compass
1949,"77 East 12th Street, Unit 15A",Greenwich Village,3000,Studio,1 BA,Manhattan,Compass
1950,"45 East 89th Street, Unit 15G",Upper East Side,8250,2 BD,2 BA,Manhattan,Compass
1951,"207-217 Central Park North, Unit 7",Harlem,4636,2 BD,2 BA,Manhattan,Compass
1952,"288 West 92nd Street, Unit 4B",Upper West Side,2800,1 BD,1 BA,Manhattan,Compass
1953,"1 Wall Street Court, Unit 1001",Financial District,4900,2 BD,2 BA,Manhattan,Compass
1954,"310 West 20th Street, Unit D9",Chelsea,1750,Studio,1 BA,Manhattan,Compass
1955,"234 East 88th Street, Unit 2D",Upper East Side,2612,1 BD,1 BA,Manhattan,Compass
1956,"101 Delancey Street, Unit 3",Lower East Side,4650,3 BD,1 BA,Manhattan,Compass
1957,"133 Essex Street, Unit 501",Lower East Side,3250,1 BD,1 BA,Manhattan,Compass
1958,"201 East 19th Street, Unit 12N",Gramercy,2775,Studio,1 BA,Manhattan,Compass
1959,"685 1st Avenue, Unit 14S",Murray Hill,4625,Studio,1 BA,Manhattan,Compass
1960,"25 West 13th Street, Unit 3FS",Greenwich Village,3200,2 BD,1 BA,Manhattan,Compass
1961,"215 East 24th Street, Unit 102",Kips Bay,2700,Studio,1 BA,Manhattan,Compass
1962,"234 East 23rd Street, Unit 4A",Gramercy,6800,2 BD,2 BA,Manhattan,Compass
1963,"264 Lexington Avenue, Unit 8C",Murray Hill,4400,2 BD,1 BA,Manhattan,Compass
1964,"167 East 90th Street, Unit 1C",Upper East Side,4699,2 BD,2 BA,Manhattan,Compass
1965,"721 5th Avenue, Unit 35C",Midtown East,4950,1 BD,2 BA,Manhattan,Compass
1966,"217 East 27th Street, Unit 3",Kips Bay,3500,2 BD,1 BA,Manhattan,Compass
1967,"177 Thompson Street, Unit 7",Greenwich Village,2595,Studio,1 BA,Manhattan,Compass
1968,"25 West 13th Street, Unit 3FS",Greenwich Village,3200,2 BD,1 BA,Manhattan,Compass
1969,"215 East 24th Street, Unit 102",Kips Bay,2700,Studio,1 BA,Manhattan,Compass
1970,"234 East 23rd Street, Unit 4A",Gramercy,6800,2 BD,2 BA,Manhattan,Compass
1971,"721 5th Avenue, Unit 35C",Midtown East,4950,1 BD,2 BA,Manhattan,Compass
1972,"264 Lexington Avenue, Unit 8C",Murray Hill,4400,2 BD,1 BA,Manhattan,Compass
1973,"167 East 90th Street, Unit 1C",Upper East Side,4699,2 BD,2 BA,Manhattan,Compass
1974,"217 East 27th Street, Unit 3",Kips Bay,3500,2 BD,1 BA,Manhattan,Compass
1975,"177 Thompson Street, Unit 7",Greenwich Village,2595,Studio,1 BA,Manhattan,Compass
1976,"751 Washington Street, Unit 2",West Village,7000,2 BD,1 BA,Manhattan,Compass
1977,"158 West 88th Street, Unit 1",Upper West Side,5395,2 BD,2 BA,Manhattan,Compass
1978,"514 East 88th Street, Unit 4C",Upper East Side,2291,1 BD,1 BA,Manhattan,Compass
1979,"153 Ludlow Street, Unit 4",Lower East Side,3138,1 BD,1 BA,Manhattan,Compass
1980,"205 Worth Street, Unit 4N",Chinatown,3900,2 BD,1 BA,Manhattan,Compass
1981,"501 East 73rd Street, Unit 4C",Upper East Side,2595,3 BD,1 BA,Manhattan,Compass
1982,"318 West 49th Street, Unit 4FW",Hell's Kitchen,3071,2 BD,1 BA,Manhattan,Compass
1983,"229 Chrystie Street, Unit 815",Lower East Side,7595,2 BD,2 BA,Manhattan,Compass
1984,"1838 7th Avenue, Unit 11",Harlem,2750,2 BD,1 BA,Manhattan,Compass
1985,"229 Chrystie Street, Unit 338",Lower East Side,5395,1 BD,1 BA,Manhattan,Compass
1986,229 Chrystie Street,Lower East Side,6295,1 BD,1 BA,Manhattan,Compass
1987,"210 East 68th Street, Unit 14G",Upper East Side,6400,2 BD,1 BA,Manhattan,Compass
1988,"320 East 35th Street, Unit 3D",Murray Hill,2900,1 BD,1 BA,Manhattan,Compass
1989,"245 East 80th Street, Unit 5F",Upper East Side,5995,2 BD,2 BA,Manhattan,Compass
1990,"266 Elizabeth Street, Unit 5",NoLita,6300,2 BD,1 BA,Manhattan,Compass
1991,"208 East 87th Street, Unit 5E",Upper East Side,2178,1 BD,1 BA,Manhattan,Compass
1992,"401 2nd Avenue, Unit 17F",Kips Bay,4800,2 BD,1 BA,Manhattan,Compass
1993,"125 Washington Place, Unit 3C",West Village,3195,1 BD,1 BA,Manhattan,Compass
1994,"236 East 88th Street, Unit 5RW",Upper East Side,2475,1 BD,1 BA,Manhattan,Compass
1995,"77 East 12th Street, Unit 13A",Greenwich Village,3200,Studio,1 BA,Manhattan,Compass
1996,"114 West 17th Street, Unit 4FE",Chelsea,3800,1 BD,1 BA,Manhattan,Compass
1997,"510 East 88th Street, Unit 4C",Upper East Side,2291,1 BD,1 BA,Manhattan,Compass
1998,"252 East 110th Street, Unit 1E",East Harlem,3200,1 BD,1 BA,Manhattan,Compass
1999,"227 West 77th Street, Unit 10L",Upper West Side,3968,Studio,1 BA,Manhattan,Compass
2000,"140 West 79th Street, Unit 10A",Upper West Side,5300,2 BD,1.5 BA,Manhattan,Compass
2001,"252 South Street, Unit 48M",Lower East Side,4800,1 BD,1 BA,Manhattan,Compass
2002,"518 East 88th Street, Unit 4D",Upper East Side,2475,1 BD,1 BA,Manhattan,Compass
2003,"229 Chrystie Street, Unit 1016",Lower East Side,5155,1 BD,1 BA,Manhattan,Compass
2004,"177 East 75th Street, Unit 6AB",Upper East Side,18000,4 BD,4 BA,Manhattan,Compass
2005,"2133 3rd Avenue, Unit 2S",East Harlem,2850,3 BD,1 BA,Manhattan,Compass
2006,"242 East 77th Street, Unit 2F",Upper East Side,2800,1 BD,1 BA,Manhattan,Compass
2007,"311 West Broadway, Unit 4B",SoHo,13995,3 BD,3 BA,Manhattan,Compass
2008,"177 East 75th Street, Unit 18A",Upper East Side,7000,2 BD,2 BA,Manhattan,Compass
2009,"229 Chrystie Street, Unit 901",Lower East Side,5025,1 BD,1 BA,Manhattan,Compass
2010,"395 South End Avenue, Unit 23J",Battery Park City,5520,2 BD,2 BA,Manhattan,Compass
2011,"240 East 86th Street, Unit 17B",Upper East Side,4550,1 BD,1 BA,Manhattan,Compass
2012,"1372 York Avenue, Unit 2A",Upper East Side,2595,4 BD,1 BA,Manhattan,Compass
2013,"150 East 44th Street, Unit 20H",Midtown East,6175,2 BD,2 BA,Manhattan,Compass
2014,"150 East 72nd Street, Unit 4S",Upper East Side,27500,3 BD,2.5 BA,Manhattan,Compass
2015,"330 East 38th Street, Unit 50I",Murray Hill,4495,1 BD,1 BA,Manhattan,Compass
2016,"401 2nd Avenue, Unit 17F",Kips Bay,4800,2 BD,1 BA,Manhattan,Compass
2017,"125 Washington Place, Unit 3C",West Village,3195,1 BD,1 BA,Manhattan,Compass
2018,"236 East 88th Street, Unit 5RW",Upper East Side,2475,1 BD,1 BA,Manhattan,Compass
2019,"77 East 12th Street, Unit 13A",Greenwich Village,3200,Studio,1 BA,Manhattan,Compass
2020,"114 West 17th Street, Unit 4FE",Chelsea,3800,1 BD,1 BA,Manhattan,Compass
2021,"510 East 88th Street, Unit 4C",Upper East Side,2291,1 BD,1 BA,Manhattan,Compass
2022,"252 East 110th Street, Unit 1E",East Harlem,3200,1 BD,1 BA,Manhattan,Compass
2023,"227 West 77th Street, Unit 10L",Upper West Side,3968,Studio,1 BA,Manhattan,Compass
2024,"140 West 79th Street, Unit 10A",Upper West Side,5300,2 BD,1.5 BA,Manhattan,Compass
2025,"252 South Street, Unit 48M",Lower East Side,4800,1 BD,1 BA,Manhattan,Compass
2026,"518 East 88th Street, Unit 4D",Upper East Side,2475,1 BD,1 BA,Manhattan,Compass
2027,"229 Chrystie Street, Unit 1016",Lower East Side,5155,1 BD,1 BA,Manhattan,Compass
2028,"177 East 75th Street, Unit 6AB",Upper East Side,18000,4 BD,4 BA,Manhattan,Compass
2029,"2133 3rd Avenue, Unit 2S",East Harlem,2850,3 BD,1 BA,Manhattan,Compass
2030,"242 East 77th Street, Unit 2F",Upper East Side,2800,1 BD,1 BA,Manhattan,Compass
2031,"311 West Broadway, Unit 4B",SoHo,13995,3 BD,3 BA,Manhattan,Compass
2032,"177 East 75th Street, Unit 18A",Upper East Side,7000,2 BD,2 BA,Manhattan,Compass
2033,"229 Chrystie Street, Unit 901",Lower East Side,5025,1 BD,1 BA,Manhattan,Compass
2034,"395 South End Avenue, Unit 23J",Battery Park City,5520,2 BD,2 BA,Manhattan,Compass
2035,"240 East 86th Street, Unit 17B",Upper East Side,4550,1 BD,1 BA,Manhattan,Compass
2036,"1372 York Avenue, Unit 2A",Upper East Side,2595,4 BD,1 BA,Manhattan,Compass
2037,"150 East 44th Street, Unit 20H",Midtown East,6175,2 BD,2 BA,Manhattan,Compass
2038,"150 East 72nd Street, Unit 4S",Upper East Side,27500,3 BD,2.5 BA,Manhattan,Compass
