,Address,Neighborhood,Price,Beds,Baths,Boro,Agency
264,"542 West 153rd Street, Unit 702",Hamilton Heights,4570,2 BD,1 BA,Manhattan,Compass
265,"340 West 17th Street, Unit 2A",Chelsea,2950,1 BD,1 BA,Manhattan,Compass
266,"66 West 38th Street, Unit 38E",Midtown South,3717,1 BD,1 BA,Manhattan,Compass
267,"196 Orchard Street, Unit 9E",Lower East Side,22000,3 BD,3.5 BA,Manhattan,Compass
268,"21 Downing Street, Unit 4",West Village,5900,1 BD,1 BA,Manhattan,Compass
269,"1627 Park Avenue, Unit 3A",East Harlem,2475,2 BD,1 BA,Manhattan,Compass
270,"14 West 14th Street, Unit 7B",Flatiron,5200,1 BD,1 BA,Manhattan,Compass
271,"339 East 82nd Street, Unit GARDEN",Upper East Side,3200,1 BD,1 BA,Manhattan,Compass
272,"475 Greenwich Street, Unit PHN",TriBeCa,25000,3 BD,2.5 BA,Manhattan,Compass
273,"241 Waverly Place, Unit 1",West Village,4800,1 BD,1 BA,Manhattan,Compass
274,"354 Broome Street, Unit 3H",NoLita,6750,1 BD,2 BA,Manhattan,Compass
275,"155 East 38th Street, Unit 12E",Murray Hill,3900,1 BD,1 BA,Manhattan,Compass
276,"236 East 78th Street, Unit 4B",Upper East Side,2250,Studio,1 BA,Manhattan,Compass
277,"2172 2nd Avenue, Unit 3",East Harlem,2200,2 BD,1 BA,Manhattan,Compass
278,309 West 121st Street,Harlem,3900,3 BD,2 BA,Manhattan,Compass
279,"845 United Nations Plaza, Unit 62A",Midtown East,13500,2 BD,2.5 BA,Manhattan,Compass
280,"70 West 68th Street, Unit 4R",Upper West Side,2525,1 BD,1 BA,Manhattan,Compass
282,"200 East 32nd Street, Unit 19A",Kips Bay,3800,2 BD,1 BA,Manhattan,Compass
283,"147 West 142nd Street, Unit 5A",Harlem,2600,1 BD,1 BA,Manhattan,Compass
284,"159 West 53rd Street, Unit 26A",Theater District,3200,1 BD,1 BA,Manhattan,Compass
285,"145 East 22nd Street, Unit 1A",Gramercy,6350,3 BD,2 BA,Manhattan,Compass
286,"175 East 2nd Street, Unit GD",East Village,4200,Studio,1 BA,Manhattan,Compass
287,"18 West 48th Street, Unit 19E",Theater District,5000,1 BD,1.5 BA,Manhattan,Compass
288,"145 East 22nd Street, Unit 1A",Gramercy,6350,3 BD,2 BA,Manhattan,Compass
289,"147 West 142nd Street, Unit 5A",Harlem,2600,1 BD,1 BA,Manhattan,Compass
290,"953 Columbus Avenue, Unit 1N",Upper West Side,2383,1 BD,1 BA,Manhattan,Compass
291,"2322 Adam Clayton Powell Junior Boulevard, Unit UNIT 5H",Harlem,3500,3 BD,1.5 BA,Manhattan,Compass
292,"145 West 117th Street, Unit 2",Harlem,2200,1 BD,1 BA,Manhattan,Compass
293,"166 Duane Street, Unit 3B",TriBeCa,22000,4 BD,3.5 BA,Manhattan,Compass
294,"160 Central Park South, Unit 3703",Central Park South,10000,1 BD,1 BA,Manhattan,Compass
